,st,day,Month,year,hour,min,temp,humd,pres,pm1,pm2,pm3,am,sm,lum
36,25.99,18,7,2022,18,9,21.62,90.18,92892.59,5.3,6.7,17.315,1.6,7583.0,738.0
37,26.0,18,7,2022,18,10,21.55,90.33,92898.84,5.859999999999999,6.7,17.315,0.8,7638.0,542.5
38,26.0,18,7,2022,18,11,21.45,90.76,92911.65,6.42,6.7,17.315,0.8,7583.0,347.5
39,26.01,18,7,2022,18,12,21.37,91.11,92907.4,3.625,6.7,20.67,3.2,7591.5,196.5
40,26.02,18,7,2022,19,1,21.29,91.13,92907.97,0.8300000000000001,6.7,24.025,0.8,7583.0,110.0
41,26.02,18,7,2022,19,2,21.21,91.31,92926.09,1.3900000000000001,6.7,24.025,0.8,7529.5,55.5
42,26.03,18,7,2022,19,3,21.15,91.61,92930.3,1.95,6.7,24.025,0.4,7529.5,24.0
43,26.03,18,7,2022,19,4,21.11,91.13,92918.2,2.51,6.7,24.025,0.4,7591.5,9.0
44,26.04,18,7,2022,19,5,21.06,91.49,92918.4,3.0700000000000003,6.7,24.025,2.8,7469.0,4.5
45,26.05,18,7,2022,19,6,21.03,91.93,92923.7,3.63,6.7,24.025,1.6,7756.5,3.0
46,26.05,18,7,2022,19,7,20.98,91.95,92915.65,4.1899999999999995,6.7,24.025,0.4,7756.5,3.0
47,26.05,18,7,2022,19,8,20.93,92.19,92919.31,4.744999999999999,6.7,24.025,1.6,7752.5,3.0
48,26.05,18,7,2022,19,9,20.9,92.67,92923.14,5.3,6.7,24.025,0.4,7752.5,2.5
49,26.05,18,7,2022,19,10,20.88,92.87,92933.93,5.859999999999999,6.7,24.025,1.2,7752.5,1.0
50,26.06,18,7,2022,19,11,20.87,92.79,92931.75,6.42,6.7,24.025,2.4,7875.0,3.0
51,26.06,18,7,2022,19,12,20.87,92.56,92937.97,3.625,6.7,27.375,1.6,7813.0,3.0
52,26.06,18,7,2022,20,1,20.85,92.48,92950.77,0.8300000000000001,6.7,30.73,1.6,7875.0,3.0
53,26.07,18,7,2022,20,2,20.85,92.27,92957.72,1.3900000000000001,6.7,30.73,1.2,7813.0,2.5
54,26.07,18,7,2022,20,3,20.81,92.72,92962.09,1.95,6.7,30.73,1.6,7813.0,3.0
55,26.07,18,7,2022,20,4,20.78,92.98,92976.19,2.51,6.7,30.73,0.8,7814.5,3.0
56,26.07,18,7,2022,20,5,20.71,93.26,92992.28,3.0700000000000003,6.7,30.73,0.0,7813.0,3.0
57,26.08,18,7,2022,20,6,20.7,93.62,92990.62,3.63,6.7,30.73,2.0,7814.5,3.0
58,26.08,18,7,2022,20,7,20.69,93.75,93000.12,4.1899999999999995,6.7,30.73,0.4,7752.5,3.0
59,26.08,18,7,2022,20,8,20.69,93.82,93009.64,4.744999999999999,6.7,30.73,1.6,7814.5,3.0
60,26.08,18,7,2022,20,9,20.62,94.06,93008.53,5.3,6.7,30.73,0.8,7875.0,1.0
61,26.08,18,7,2022,20,10,20.59,93.92,93009.4,5.859999999999999,6.7,30.73,0.0,7875.0,3.0
62,26.08,18,7,2022,20,11,20.62,94.04,93024.8,6.42,6.7,30.73,0.8,7752.5,3.0
63,26.08,18,7,2022,20,12,20.75,93.37,93025.4,3.625,6.7,34.085,0.0,7469.0,3.0
64,26.08,18,7,2022,21,1,20.85,93.04,93021.41,0.8300000000000001,6.7,37.435,1.2,7583.0,3.0
65,26.08,18,7,2022,21,2,20.84,92.41,93017.37,1.3900000000000001,6.7,37.435,1.2,7591.5,3.0
66,26.08,18,7,2022,21,3,20.84,92.79,93025.42,1.95,6.7,37.435,0.4,7645.0,3.0
67,26.08,18,7,2022,21,4,20.8,93.02,93028.53,2.51,6.7,37.435,0.8,7591.5,3.0
68,26.08,18,7,2022,21,5,20.78,93.58,93034.56,3.0700000000000003,6.7,37.435,2.4,7522.5,3.0
69,26.07,18,7,2022,21,6,20.8,93.08,93043.72,3.63,6.7,37.435,0.4,7469.0,3.0
70,26.07,18,7,2022,21,7,20.76,93.04,93037.84,4.1899999999999995,6.7,37.435,1.2,7583.0,3.0
71,26.07,18,7,2022,21,8,20.65,93.36,93029.39,4.744999999999999,6.7,37.435,0.4,7700.0,3.0
72,26.07,18,7,2022,21,9,20.62,93.51,93028.27,5.3,6.7,37.435,1.2,7591.5,3.0
73,26.06,18,7,2022,21,10,20.61,93.73,93036.31,5.859999999999999,6.7,37.435,0.4,7591.5,3.0
74,26.06,18,7,2022,21,11,20.54,94.08,93038.44,6.42,6.7,37.435,0.4,7583.0,3.0
75,26.06,18,7,2022,21,12,20.44,94.23,93044.42,3.625,6.7,40.785,0.4,7645.0,3.0
76,26.06,18,7,2022,22,1,20.4,94.39,93059.43,0.8300000000000001,6.7,44.14,0.8,7591.5,3.0
77,26.06,18,7,2022,22,2,20.4,94.66,93061.25,1.3900000000000001,6.7,44.14,0.0,7700.0,3.0
78,26.05,18,7,2022,22,3,20.39,94.83,93058.5,1.95,6.7,44.14,0.8,7645.0,3.0
79,26.05,18,7,2022,22,4,20.42,95.21,93057.22,2.51,6.7,44.14,0.0,7645.0,3.0
80,26.05,18,7,2022,22,5,,,,2.79,6.7,45.54,1.6,7937.0,1.0
81,26.05,18,7,2022,22,6,20.43,95.21,93060.72,3.35,6.7,44.14,0.8,7645.0,3.0
82,26.04,18,7,2022,22,7,20.43,95.2,93061.44,3.91,6.7,44.14,0.8,7638.0,3.0
83,26.04,18,7,2022,22,8,20.46,95.31,93065.31,4.47,6.7,44.14,1.2,7529.5,2.5
84,26.03,18,7,2022,22,9,20.47,95.5,93067.32,5.02,6.7,44.14,0.8,7529.5,3.0
85,26.03,18,7,2022,22,10,20.46,95.52,93062.37,5.58,6.7,44.14,0.8,7529.5,3.0
86,26.02,18,7,2022,22,11,20.53,95.48,93071.36,6.14,6.7,44.14,0.4,7529.5,3.0
87,26.02,18,7,2022,22,12,20.54,95.24,93056.38,6.7,6.7,44.14,0.8,7529.5,3.0
88,26.01,18,7,2022,23,1,20.62,95.04,93053.15,0.55,6.7,50.845,0.0,7529.5,3.0
89,26.01,18,7,2022,23,2,20.63,94.88,93035.22,1.11,6.7,50.845,0.0,7583.0,3.0
90,26.0,18,7,2022,23,3,20.61,95.25,93039.78,1.67,6.7,50.845,1.2,7591.5,3.0
91,26.0,18,7,2022,23,4,20.57,95.18,93023.12,2.23,6.7,50.845,1.6,7645.0,3.0
92,25.99,18,7,2022,23,5,20.54,95.25,93024.72,2.79,6.7,50.845,0.8,7645.0,3.0
93,25.99,18,7,2022,23,6,20.5,95.31,93031.82,3.35,6.7,50.845,1.2,7583.0,3.0
94,25.98,18,7,2022,23,7,20.52,95.54,93044.49,3.91,6.7,50.845,0.8,7591.5,3.0
95,25.98,18,7,2022,23,8,20.59,95.61,93049.82,4.47,6.7,50.845,1.2,7591.5,3.0
96,25.98,18,7,2022,23,9,20.62,95.27,93048.2,5.02,6.7,50.845,0.4,7591.5,3.0
97,25.98,18,7,2022,23,10,20.65,95.29,93048.4,5.58,6.7,50.845,0.0,7529.5,3.0
98,25.97,18,7,2022,23,11,20.65,95.49,93042.37,6.14,6.7,50.845,0.8,7591.5,3.0
99,25.96,18,7,2022,23,12,20.65,95.53,93036.89,6.7,6.7,50.845,1.2,7645.0,3.0
100,25.96,19,7,2022,0,1,20.67,95.45,93029.39,0.55,6.7,57.55,0.4,7591.5,3.0
101,25.95,19,7,2022,0,2,20.67,95.25,93025.35,1.11,6.7,57.55,0.8,7591.5,3.0
102,25.94,19,7,2022,0,3,20.67,95.1,93025.19,1.67,6.7,57.55,0.4,7529.5,1.0
103,25.94,19,7,2022,0,4,20.65,94.88,93020.42,2.23,6.7,57.55,0.4,7591.5,3.0
104,25.93,19,7,2022,0,5,20.64,94.74,93018.94,2.79,6.7,57.55,2.0,7529.5,3.0
105,25.93,19,7,2022,0,6,20.63,94.77,93009.25,3.35,6.7,57.55,0.4,7591.5,3.0
106,25.92,19,7,2022,0,7,20.62,94.8,93001.56,3.91,6.7,57.55,0.8,7591.5,3.0
107,25.92,19,7,2022,0,8,20.62,95.15,92999.55,4.47,6.7,57.55,0.0,7591.5,2.5
108,25.92,19,7,2022,0,9,20.65,94.87,92993.71,5.02,6.7,57.55,0.4,7645.0,3.0
109,25.91,19,7,2022,0,10,20.67,94.81,92995.17,5.58,6.7,57.55,1.2,7645.0,2.0
110,25.9,19,7,2022,0,11,20.61,94.84,92987.11,6.14,6.7,57.55,0.4,7645.0,3.0
111,25.9,19,7,2022,0,12,20.63,95.0,92989.32,6.7,6.7,57.55,0.0,7469.0,3.0
112,25.89,19,7,2022,1,1,20.62,94.68,92985.82,0.55,6.7,64.255,0.4,7529.5,3.0
113,25.88,19,7,2022,1,2,20.64,94.78,92981.81,1.11,6.7,64.255,0.4,7529.5,3.0
114,25.88,19,7,2022,1,3,20.67,94.51,92969.01,1.67,6.7,64.255,0.8,7591.5,3.0
115,25.87,19,7,2022,1,4,20.7,94.52,92967.92,2.23,6.7,64.255,0.8,7529.5,3.0
116,25.87,19,7,2022,1,5,20.68,94.48,92958.24,2.79,6.7,64.255,0.8,7529.5,3.0
117,25.86,19,7,2022,1,6,20.62,94.7,92948.15,3.35,6.7,64.255,1.2,7591.5,3.0
118,25.86,19,7,2022,1,7,20.6,94.69,92943.74,3.91,6.7,64.255,0.4,7529.5,3.0
119,25.85,19,7,2022,1,8,20.57,94.72,92938.06,4.47,6.7,64.255,0.0,7529.5,3.0
120,25.85,19,7,2022,1,9,20.54,94.55,92936.92,5.02,6.7,64.255,1.2,7591.5,3.0
121,25.84,19,7,2022,1,10,20.5,94.76,92940.03,5.58,6.7,64.255,0.0,7529.5,3.0
122,25.83,19,7,2022,1,11,20.57,94.83,92929.82,6.14,6.7,64.255,0.0,7529.5,3.0
123,25.83,19,7,2022,1,12,20.55,94.52,92916.67,6.7,6.7,64.255,0.0,7469.0,3.0
124,25.82,19,7,2022,2,1,20.59,94.48,92915.39,0.55,6.7,70.965,1.6,7529.5,3.0
125,25.81,19,7,2022,2,2,20.59,94.69,92903.87,1.11,6.7,70.965,1.6,7529.5,3.0
126,25.81,19,7,2022,2,3,20.56,94.84,92891.25,1.67,6.7,70.965,1.2,7529.5,2.0
127,25.8,19,7,2022,2,4,20.54,94.83,92904.0,2.23,6.7,70.965,1.6,7591.5,3.0
128,25.8,19,7,2022,2,5,20.53,94.98,92893.03,2.79,6.7,70.965,1.2,7591.5,3.0
129,25.79,19,7,2022,2,6,20.51,94.78,92892.86,3.35,6.7,70.965,1.6,7591.5,3.0
130,25.79,19,7,2022,2,7,20.5,95.11,92889.17,3.91,6.7,70.965,1.2,7591.5,3.0
131,25.78,19,7,2022,2,8,20.5,95.26,92891.19,4.47,6.7,70.965,1.2,7591.5,3.0
132,25.78,19,7,2022,2,9,20.5,95.42,92888.64,5.02,6.7,70.965,1.6,7529.5,3.0
133,25.77,19,7,2022,2,10,20.45,95.73,92886.26,5.58,6.7,70.965,2.0,7591.5,3.0
134,25.76,19,7,2022,2,11,20.43,96.09,92889.35,6.14,6.7,70.965,1.2,7591.5,3.0
135,25.76,19,7,2022,2,12,20.38,96.04,92882.03,6.7,6.7,70.965,0.0,7529.5,3.0
136,25.75,19,7,2022,3,1,20.37,95.95,92872.32,0.55,6.7,77.66999999999999,0.4,7529.5,3.0
137,25.74,19,7,2022,3,2,20.35,96.12,92859.17,1.11,6.7,77.66999999999999,0.0,7645.0,3.0
138,25.73,19,7,2022,3,3,20.42,96.25,92865.01,1.67,6.7,77.66999999999999,1.6,7591.5,3.0
139,25.73,19,7,2022,3,4,20.4,96.1,92860.28,2.23,6.7,77.66999999999999,0.0,7529.5,3.0
140,25.73,19,7,2022,3,5,20.45,96.07,92862.11,2.79,6.7,77.66999999999999,0.0,7591.5,1.0
141,25.73,19,7,2022,3,6,20.47,95.95,92870.53,3.35,6.7,77.66999999999999,0.8,7591.5,1.0
142,25.72,19,7,2022,3,7,20.44,95.91,92861.92,3.91,6.7,77.66999999999999,0.0,7645.0,1.0
143,25.71,19,7,2022,3,8,20.43,95.87,92867.94,4.47,6.7,77.66999999999999,0.4,7529.5,1.0
144,25.7,19,7,2022,3,9,20.42,95.72,92865.95,5.02,6.7,77.66999999999999,0.4,7583.0,1.0
145,25.7,19,7,2022,3,10,20.45,95.46,92866.87,5.58,6.7,77.66999999999999,0.4,7529.5,1.0
146,25.69,19,7,2022,3,11,20.5,95.59,92863.75,6.14,6.7,77.66999999999999,0.8,7529.5,1.0
147,25.69,19,7,2022,3,12,20.47,95.56,92879.49,6.7,6.7,77.66999999999999,0.0,7529.5,1.0
148,25.68,19,7,2022,4,1,20.51,95.46,92881.89,0.55,6.7,84.375,1.2,7529.5,1.0
149,25.67,19,7,2022,4,2,20.46,95.3,92880.94,1.11,6.7,84.375,2.0,7591.5,1.0
150,25.67,19,7,2022,4,3,20.45,95.31,92879.3,1.67,6.7,84.375,0.8,7469.0,1.0
151,25.67,19,7,2022,4,4,20.45,95.28,92884.06,2.23,6.7,84.375,0.4,7583.0,1.0
152,25.66,19,7,2022,4,5,20.44,95.1,92878.38,2.79,6.7,84.375,1.2,7529.5,1.0
153,25.66,19,7,2022,4,6,20.45,95.16,92871.61,3.35,6.7,84.375,0.0,7529.5,1.0
154,25.65,19,7,2022,4,7,20.45,95.32,92877.09,3.91,6.7,84.375,2.0,7529.5,1.0
155,25.64,19,7,2022,4,8,20.43,95.38,92875.64,4.47,6.7,84.375,1.2,7529.5,1.0
156,25.64,19,7,2022,4,9,20.29,95.5,92859.88,5.02,6.7,84.375,0.8,7529.5,1.0
157,25.63,19,7,2022,4,10,20.14,96.1,92873.74,5.58,6.7,84.375,1.2,7529.5,1.0
158,25.62,19,7,2022,4,11,20.2,96.33,92872.82,6.14,6.7,84.375,1.2,7529.5,1.0
159,25.62,19,7,2022,4,12,20.25,96.36,92876.68,6.7,6.7,84.375,1.6,7529.5,1.0
160,25.61,19,7,2022,5,1,20.2,96.3,92886.54,0.55,6.7,91.08000000000001,0.8,7469.0,1.0
161,25.61,19,7,2022,5,2,20.2,96.31,92891.3,1.11,6.7,91.08000000000001,2.0,7469.0,1.0
162,25.61,19,7,2022,5,3,20.15,96.25,92907.36,1.67,6.7,91.08000000000001,3.2,7529.5,1.0
163,25.6,19,7,2022,5,4,20.11,96.5,92908.25,2.23,6.7,91.08000000000001,0.4,7591.5,1.0
164,25.6,19,7,2022,5,5,20.11,96.61,92906.78,2.79,6.7,91.08000000000001,1.2,7529.5,1.0
165,25.59,19,7,2022,5,6,20.06,96.77,92909.88,3.35,6.7,91.08000000000001,1.6,7469.0,1.0
166,25.58,19,7,2022,5,7,20.1,96.88,92915.0,3.91,6.7,91.08000000000001,1.2,7529.5,1.0
167,25.58,19,7,2022,5,8,20.17,96.69,92921.8,4.47,6.7,91.08000000000001,0.0,7529.5,1.5
168,25.57,19,7,2022,5,9,20.2,96.82,92917.99,5.02,6.7,91.08000000000001,0.0,7591.5,2.0
169,25.56,19,7,2022,5,10,20.2,96.83,92917.43,5.58,6.7,91.08000000000001,0.0,7591.5,3.5
170,25.56,19,7,2022,5,11,20.25,96.72,92921.28,6.14,6.7,91.08000000000001,0.8,7529.5,8.0
171,25.55,19,7,2022,5,12,20.31,96.65,92929.37,6.7,6.7,91.08000000000001,0.0,7469.0,17.5
172,25.55,19,7,2022,6,1,20.35,96.46,92932.47,0.55,6.7,97.785,1.2,7529.5,35.5
173,25.55,19,7,2022,6,2,20.4,96.36,92937.07,1.11,6.7,97.785,0.0,7529.5,54.5
174,25.55,19,7,2022,6,3,20.44,96.02,92930.5,1.67,6.7,97.785,0.0,7529.5,103.5
175,25.54,19,7,2022,6,4,20.44,96.24,92942.2,2.23,6.7,97.785,0.0,7529.5,150.5
176,25.53,19,7,2022,6,5,20.37,96.48,92941.45,2.79,6.7,97.785,0.8,7645.0,214.5
177,25.53,19,7,2022,6,6,20.37,96.81,92951.87,3.35,6.7,97.785,0.8,7591.5,357.0
178,25.52,19,7,2022,6,7,20.37,96.89,92946.37,3.91,6.7,97.785,0.8,7591.5,600.0
179,25.52,19,7,2022,6,8,20.45,96.98,92943.69,4.47,6.7,97.785,0.8,7529.5,1055.5
180,25.51,19,7,2022,6,9,20.53,96.78,92958.7,5.02,6.7,97.785,0.4,7529.5,988.0
181,25.5,19,7,2022,6,10,20.59,96.68,92955.81,5.58,6.7,97.785,0.4,7529.5,1249.5
182,25.5,19,7,2022,6,11,20.65,96.48,92967.56,6.14,6.7,97.785,1.2,7529.5,1950.5
183,25.49,19,7,2022,6,12,,,,6.7,6.7,99.18,0.0,7813.0,1251.0
184,25.49,19,7,2022,7,1,20.86,95.72,92976.93,0.55,6.7,104.49000000000001,0.8,7529.5,1625.5
185,25.49,19,7,2022,7,2,20.85,95.67,92980.97,1.11,6.7,104.49000000000001,0.0,7469.0,2741.5
186,25.49,19,7,2022,7,3,20.87,95.76,92981.15,1.67,6.7,104.49000000000001,0.4,7529.5,3692.0
187,25.48,19,7,2022,7,4,21.02,95.66,92992.88,2.23,6.7,104.49000000000001,1.2,7591.5,3117.5
188,25.47,19,7,2022,7,5,21.19,94.75,92992.92,2.79,6.7,104.49000000000001,0.8,7469.0,4876.0
189,25.47,19,7,2022,7,6,21.37,93.86,93000.27,3.35,6.7,104.49000000000001,1.2,7522.5,5489.0
190,25.46,19,7,2022,7,7,21.48,93.32,93005.99,3.91,6.7,104.49000000000001,0.0,7529.5,5726.5
191,25.46,19,7,2022,7,8,21.69,93.48,93007.82,4.47,6.7,104.49000000000001,1.2,7529.5,8338.0
192,25.45,19,7,2022,7,9,21.92,91.68,93001.76,5.02,6.7,104.49000000000001,0.8,7591.5,9572.5
193,25.45,19,7,2022,7,10,21.97,91.37,93005.61,5.58,6.7,104.49000000000001,2.8,7469.0,9255.0
194,25.44,19,7,2022,7,11,22.01,91.6,93002.47,6.14,6.7,104.49000000000001,2.4,7529.5,9711.0
195,25.44,19,7,2022,7,12,21.87,91.42,93017.71,6.7,6.7,104.49000000000001,1.6,7469.0,9067.5
196,25.43,19,7,2022,8,1,21.93,91.64,93005.78,0.55,6.7,111.195,1.2,7469.0,11190.0
197,25.43,19,7,2022,8,2,22.44,89.99,93014.52,1.11,6.7,111.195,2.0,7529.5,3588.5
198,25.43,19,7,2022,8,3,23.3,86.72,93023.34,1.67,6.7,111.195,2.8,7529.5,6797.0
199,25.42,19,7,2022,8,4,23.22,85.65,93025.22,2.23,6.7,111.195,0.4,7529.5,10768.0
200,25.42,19,7,2022,8,5,23.11,86.95,93037.4,2.79,6.7,111.195,1.6,7469.0,5949.0
201,25.42,19,7,2022,8,6,24.28,82.92,93045.03,3.35,6.7,111.195,2.8,7469.0,5972.5
202,25.42,19,7,2022,8,7,24.2,82.28,93044.39,3.91,6.7,111.195,0.4,7469.0,4204.5
203,25.42,19,7,2022,8,8,24.52,82.51,93057.36,4.47,6.7,111.195,1.6,7469.0,5060.0
204,25.42,19,7,2022,8,9,24.86,80.16,93058.63,5.02,6.7,111.195,0.0,7529.5,5257.5
205,25.42,19,7,2022,8,10,24.96,80.58,93065.7,5.58,6.7,111.195,2.0,7469.0,6407.5
206,25.41,19,7,2022,8,11,24.85,80.32,93075.79,6.14,6.7,111.195,1.6,7529.5,13157.0
207,25.4,19,7,2022,8,12,24.46,81.99,93079.11,6.7,6.7,111.195,2.8,7529.5,9206.5
208,25.39,19,7,2022,9,1,23.47,85.37,93081.84,0.55,6.7,117.9,0.8,7529.5,9410.5
209,25.39,19,7,2022,9,2,23.14,88.12,93094.32,1.11,6.7,117.9,1.6,7469.0,6377.0
210,25.38,19,7,2022,9,3,22.86,91.39,93089.64,1.67,6.7,117.9,0.8,7529.5,13561.0
211,25.38,19,7,2022,9,4,23.22,87.9,93092.82,2.23,6.7,117.9,0.4,7529.5,11759.5
212,25.37,19,7,2022,9,5,23.23,88.51,93105.31,2.79,6.7,117.9,0.8,7469.0,14362.5
213,25.37,19,7,2022,9,6,23.46,87.1,93112.74,3.35,6.7,117.9,1.6,7469.0,12907.5
214,25.37,19,7,2022,9,7,23.65,86.05,93105.44,3.91,6.7,117.9,0.8,7469.0,15041.0
215,25.36,19,7,2022,9,8,23.77,85.66,93116.06,4.47,6.7,117.9,0.8,7469.0,14094.0
216,25.36,19,7,2022,9,9,23.86,85.03,93125.75,5.02,6.7,117.9,2.0,7522.5,12552.5
217,25.36,19,7,2022,9,10,23.79,85.66,93120.47,5.58,6.7,117.9,1.6,7529.5,12073.0
218,25.36,19,7,2022,9,11,23.57,85.24,93117.82,6.14,6.7,117.9,1.6,7469.0,9194.5
219,25.36,19,7,2022,9,12,23.45,85.77,93116.76,6.7,6.7,117.9,1.2,7529.5,13120.0
220,25.36,19,7,2022,10,1,23.87,85.63,93117.65,0.55,6.7,124.60499999999999,1.2,7469.0,5950.0
221,25.36,19,7,2022,10,2,24.69,83.1,93120.13,1.11,6.7,124.60499999999999,1.6,7469.0,5285.5
222,25.36,19,7,2022,10,3,25.31,79.74,93114.1,1.67,6.7,124.60499999999999,1.6,7469.0,14508.5
223,25.36,19,7,2022,10,4,24.95,81.02,93120.79,2.23,6.7,124.60499999999999,2.0,7529.5,10926.5
224,25.36,19,7,2022,10,5,24.26,83.28,93120.69,2.79,6.7,124.60499999999999,2.0,7529.5,10433.5
225,25.36,19,7,2022,10,6,23.71,84.43,93123.81,3.35,6.7,124.60499999999999,1.2,7529.5,7010.0
226,25.35,19,7,2022,10,7,23.31,87.8,93117.04,3.91,6.7,124.60499999999999,1.2,7529.5,10736.0
227,25.35,19,7,2022,10,8,23.52,86.62,93127.01,4.47,6.7,124.60499999999999,1.6,7469.0,9176.5
228,25.35,19,7,2022,10,9,23.54,85.82,93127.19,5.02,6.7,124.60499999999999,0.8,7529.5,11199.0
229,25.36,19,7,2022,10,10,24.45,84.07,93133.4,5.58,6.7,124.60499999999999,0.4,7529.5,5817.0
230,25.36,19,7,2022,10,11,26.37,75.5,93118.69,6.14,6.7,124.60499999999999,2.0,7583.0,6201.5
231,25.36,19,7,2022,10,12,27.19,71.77,93118.41,6.7,6.7,124.60499999999999,2.0,7583.0,7496.0
232,25.36,19,7,2022,11,1,27.31,69.17,93107.45,0.55,6.7,131.315,1.2,7522.5,3749.0
233,25.36,19,7,2022,11,2,27.0,70.22,93104.51,1.11,6.7,131.315,0.4,7577.5,10836.0
234,25.36,19,7,2022,11,3,26.18,74.31,93106.85,1.67,6.7,131.315,0.0,7469.0,13102.0
235,25.37,19,7,2022,11,4,26.21,74.7,93105.69,2.23,6.7,131.315,2.0,7577.5,1993.5
236,25.37,19,7,2022,11,5,27.06,72.19,93098.69,2.79,6.7,131.315,3.6,7464.5,5647.0
237,25.38,19,7,2022,11,6,28.2,68.74,93094.8,3.35,6.7,131.315,1.2,7577.5,1668.0
238,25.38,19,7,2022,11,7,28.52,66.75,93092.76,3.91,6.7,131.315,0.8,7522.5,5115.5
239,25.38,19,7,2022,11,8,27.36,66.93,93102.17,4.47,6.7,131.315,4.4,7464.5,10887.5
240,25.39,19,7,2022,11,9,26.34,72.23,93094.06,5.02,6.7,131.315,2.0,7519.5,13524.5
241,25.39,19,7,2022,11,10,26.27,71.72,93092.31,5.58,6.7,131.315,0.8,7577.5,1617.0
242,25.39,19,7,2022,11,11,26.87,71.18,93089.8,6.14,6.7,131.315,2.4,7522.5,7962.5
243,25.4,19,7,2022,11,12,27.54,69.95,93094.41,6.7,6.7,131.315,0.4,7522.5,3271.5
