ttime,pm1,pm2,pm3,am,sm,st,lum
2022-07-18 19:12:56,1.67,6.7,25.42,0.8,7813.0,26.03,24.0
2022-07-18 19:17:58,2.23,6.7,25.42,0.8,7937.0,26.03,8.0
2022-07-18 19:22:55,2.79,6.7,25.42,5.6,7692.0,26.04,3.0
2022-07-18 19:27:57,3.35,6.7,25.42,3.2,7937.0,26.05,1.0
2022-07-18 19:32:57,3.91,6.7,25.42,0.8,7937.0,26.05,1.0
2022-07-18 19:37:58,4.47,6.7,25.42,3.2,7813.0,26.05,1.0
2022-07-18 19:42:57,5.02,6.7,25.42,0.8,7813.0,26.05,1.0
2022-07-18 19:47:57,5.58,6.7,25.42,2.4,7813.0,26.05,1.0
2022-07-18 19:52:57,6.14,6.7,25.42,4.8,7937.0,26.06,1.0
2022-07-18 19:57:57,6.7,6.7,25.42,3.2,7813.0,26.06,1.0
2022-07-18 20:02:57,0.55,6.7,32.13,3.2,7937.0,26.06,1.0
2022-07-18 20:07:57,1.11,6.7,32.13,2.4,7813.0,26.07,1.0
2022-07-18 20:12:57,1.67,6.7,32.13,3.2,7813.0,26.07,1.0
2022-07-18 20:17:57,2.23,6.7,32.13,1.6,7937.0,26.07,1.0
2022-07-18 20:22:57,2.79,6.7,32.13,0.0,7813.0,26.07,1.0
2022-07-18 20:27:57,3.35,6.7,32.13,4.0,7937.0,26.08,1.0
2022-07-18 20:32:57,3.91,6.7,32.13,0.8,7813.0,26.08,1.0
2022-07-18 20:37:57,4.47,6.7,32.13,3.2,7937.0,26.08,1.0
2022-07-18 20:42:57,5.02,6.7,32.13,1.6,7937.0,26.08,1.0
2022-07-18 20:47:57,5.58,6.7,32.13,0.0,7937.0,26.08,1.0
2022-07-18 20:52:57,6.14,6.7,32.13,1.6,7813.0,26.08,1.0
2022-07-18 20:57:57,6.7,6.7,32.13,0.0,7692.0,26.08,1.0
2022-07-18 21:02:58,0.55,6.7,38.83,2.4,7813.0,26.08,1.0
2022-07-18 21:07:58,1.11,6.7,38.83,2.4,7937.0,26.08,1.0
2022-07-18 21:12:58,1.67,6.7,38.83,0.8,7937.0,26.08,1.0
2022-07-18 21:17:58,2.23,6.7,38.83,1.6,7937.0,26.08,1.0
2022-07-18 21:22:58,2.79,6.7,38.83,4.8,7692.0,26.08,1.0
2022-07-18 21:27:58,3.35,6.7,38.83,0.8,7692.0,26.07,1.0
2022-07-18 21:32:58,3.91,6.7,38.83,2.4,7813.0,26.07,1.0
2022-07-18 21:37:58,4.47,6.7,38.83,0.8,7937.0,26.07,1.0
2022-07-18 21:42:58,5.02,6.7,38.83,2.4,7937.0,26.07,1.0
2022-07-18 21:47:58,5.58,6.7,38.83,0.8,7937.0,26.06,1.0
2022-07-18 21:52:58,6.14,6.7,38.83,0.8,7813.0,26.06,1.0
2022-07-18 21:57:58,6.7,6.7,38.83,0.8,7937.0,26.06,1.0
2022-07-18 22:02:58,0.55,6.7,45.54,1.6,7937.0,26.06,1.0
2022-07-18 22:07:58,1.11,6.7,45.54,0.0,7937.0,26.06,1.0
2022-07-18 22:12:58,1.67,6.7,45.54,1.6,7937.0,26.05,1.0
2022-07-18 22:17:58,2.23,6.7,45.54,0.0,7937.0,26.05,1.0
2022-07-18 22:22:58,2.79,6.7,45.54,1.6,7937.0,26.05,1.0
2022-07-18 22:27:58,3.35,6.7,45.54,1.6,7937.0,26.05,1.0
2022-07-18 22:32:58,3.91,6.7,45.54,1.6,7813.0,26.04,1.0
2022-07-18 22:38:15,4.47,6.7,45.54,2.4,7813.0,26.04,1.0
2022-07-18 22:43:58,5.02,6.7,45.54,1.6,7813.0,26.03,1.0
2022-07-18 22:48:58,5.58,6.7,45.54,1.6,7813.0,26.03,1.0
2022-07-18 22:53:58,6.14,6.7,45.54,0.8,7813.0,26.02,1.0
2022-07-18 22:58:59,6.7,6.7,45.54,1.6,7813.0,26.02,1.0
2022-07-18 23:04:01,0.55,6.7,52.24,0.0,7813.0,26.01,1.0
2022-07-18 23:08:59,1.11,6.7,52.24,0.0,7813.0,26.01,1.0
2022-07-18 23:13:59,1.67,6.7,52.24,2.4,7937.0,26.0,1.0
2022-07-18 23:18:59,2.23,6.7,52.24,3.2,7937.0,26.0,1.0
2022-07-18 23:23:59,2.79,6.7,52.24,1.6,7937.0,25.99,1.0
2022-07-18 23:28:59,3.35,6.7,52.24,2.4,7813.0,25.99,1.0
2022-07-18 23:33:59,3.91,6.7,52.24,1.6,7937.0,25.98,1.0
2022-07-18 23:38:59,4.47,6.7,52.24,2.4,7937.0,25.98,1.0
2022-07-18 23:43:59,5.02,6.7,52.24,0.8,7937.0,25.98,1.0
2022-07-18 23:48:59,5.58,6.7,52.24,0.0,7813.0,25.98,1.0
2022-07-18 23:53:59,6.14,6.7,52.24,1.6,7937.0,25.97,1.0
2022-07-18 23:58:59,6.7,6.7,52.24,2.4,7937.0,25.96,1.0
2022-07-19 00:03:59,0.55,6.7,58.95,0.8,7937.0,25.96,1.0
2022-07-19 00:08:59,1.11,6.7,58.95,1.6,7937.0,25.95,1.0
2022-07-19 00:13:59,1.67,6.7,58.95,0.8,7813.0,25.94,1.0
2022-07-19 00:18:59,2.23,6.7,58.95,0.8,7937.0,25.94,1.0
2022-07-19 00:23:59,2.79,6.7,58.95,4.0,7813.0,25.93,1.0
2022-07-19 00:28:59,3.35,6.7,58.95,0.8,7937.0,25.93,1.0
2022-07-19 00:33:59,3.91,6.7,58.95,1.6,7937.0,25.92,1.0
2022-07-19 00:38:59,4.47,6.7,58.95,0.0,7937.0,25.92,1.0
2022-07-19 00:44:00,5.02,6.7,58.95,0.8,7937.0,25.92,1.0
2022-07-19 00:49:00,5.58,6.7,58.95,2.4,7937.0,25.91,1.0
2022-07-19 00:54:00,6.14,6.7,58.95,0.8,7937.0,25.9,1.0
2022-07-19 00:59:00,6.7,6.7,58.95,0.0,7692.0,25.9,1.0
2022-07-19 01:04:00,0.55,6.7,65.65,0.8,7813.0,25.89,1.0
2022-07-19 01:09:00,1.11,6.7,65.65,0.8,7813.0,25.88,1.0
2022-07-19 01:13:59,1.67,6.7,65.65,1.6,7937.0,25.88,1.0
2022-07-19 01:19:00,2.23,6.7,65.65,1.6,7813.0,25.87,1.0
2022-07-19 01:24:00,2.79,6.7,65.65,1.6,7813.0,25.87,1.0
2022-07-19 01:29:00,3.35,6.7,65.65,2.4,7937.0,25.86,1.0
2022-07-19 01:34:00,3.91,6.7,65.65,0.8,7813.0,25.86,1.0
2022-07-19 01:39:00,4.47,6.7,65.65,0.0,7813.0,25.85,1.0
2022-07-19 01:44:00,5.02,6.7,65.65,2.4,7937.0,25.85,1.0
2022-07-19 01:49:00,5.58,6.7,65.65,0.0,7813.0,25.84,1.0
2022-07-19 01:54:00,6.14,6.7,65.65,0.0,7813.0,25.83,1.0
2022-07-19 01:59:00,6.7,6.7,65.65,0.0,7692.0,25.83,1.0
2022-07-19 02:04:00,0.55,6.7,72.36,3.2,7813.0,25.82,1.0
2022-07-19 02:09:00,1.11,6.7,72.36,3.2,7813.0,25.81,1.0
2022-07-19 02:14:00,1.67,6.7,72.36,2.4,7813.0,25.81,1.0
2022-07-19 02:19:00,2.23,6.7,72.36,3.2,7937.0,25.8,1.0
2022-07-19 02:24:00,2.79,6.7,72.36,2.4,7937.0,25.8,1.0
2022-07-19 02:29:01,3.35,6.7,72.36,3.2,7937.0,25.79,1.0
2022-07-19 02:34:01,3.91,6.7,72.36,2.4,7937.0,25.79,1.0
2022-07-19 02:39:01,4.47,6.7,72.36,2.4,7937.0,25.78,1.0
2022-07-19 02:44:01,5.02,6.7,72.36,3.2,7813.0,25.78,1.0
2022-07-19 02:49:01,5.58,6.7,72.36,4.0,7937.0,25.77,1.0
2022-07-19 02:54:01,6.14,6.7,72.36,2.4,7937.0,25.76,1.0
2022-07-19 02:59:01,6.7,6.7,72.36,0.0,7813.0,25.76,1.0
2022-07-19 03:04:01,0.55,6.7,79.07,0.8,7813.0,25.75,1.0
2022-07-19 03:09:01,1.11,6.7,79.07,0.0,7937.0,25.74,1.0
2022-07-19 03:14:01,1.67,6.7,79.07,3.2,7937.0,25.73,1.0
2022-07-19 03:19:01,2.23,6.7,79.07,0.0,7813.0,25.73,1.0
2022-07-19 03:24:01,2.79,6.7,79.07,0.0,7937.0,25.73,1.0
2022-07-19 03:29:01,3.35,6.7,79.07,1.6,7937.0,25.73,1.0
2022-07-19 03:34:01,3.91,6.7,79.07,0.0,7937.0,25.72,1.0
2022-07-19 03:39:01,4.47,6.7,79.07,0.8,7813.0,25.71,1.0
2022-07-19 03:44:01,5.02,6.7,79.07,0.8,7813.0,25.7,1.0
2022-07-19 03:49:01,5.58,6.7,79.07,0.8,7813.0,25.7,1.0
2022-07-19 03:54:01,6.14,6.7,79.07,1.6,7813.0,25.69,1.0
2022-07-19 03:59:02,6.7,6.7,79.07,0.0,7813.0,25.69,1.0
2022-07-19 04:04:02,0.55,6.7,85.77,2.4,7813.0,25.68,1.0
2022-07-19 04:09:02,1.11,6.7,85.77,4.0,7937.0,25.67,1.0
2022-07-19 04:14:02,1.67,6.7,85.77,1.6,7692.0,25.67,1.0
2022-07-19 04:19:02,2.23,6.7,85.77,0.8,7813.0,25.67,1.0
2022-07-19 04:24:02,2.79,6.7,85.77,2.4,7813.0,25.66,1.0
2022-07-19 04:29:02,3.35,6.7,85.77,0.0,7813.0,25.66,1.0
2022-07-19 04:34:02,3.91,6.7,85.77,4.0,7813.0,25.65,1.0
2022-07-19 04:39:02,4.47,6.7,85.77,2.4,7813.0,25.64,1.0
2022-07-19 04:44:02,5.02,6.7,85.77,1.6,7813.0,25.64,1.0
2022-07-19 04:49:02,5.58,6.7,85.77,2.4,7813.0,25.63,1.0
2022-07-19 04:54:02,6.14,6.7,85.77,2.4,7813.0,25.62,1.0
2022-07-19 04:59:02,6.7,6.7,85.77,3.2,7813.0,25.62,1.0
2022-07-19 05:04:02,0.55,6.7,92.48,1.6,7692.0,25.61,1.0
2022-07-19 05:09:02,1.11,6.7,92.48,4.0,7692.0,25.61,1.0
2022-07-19 05:14:02,1.67,6.7,92.48,6.4,7813.0,25.61,1.0
2022-07-19 05:19:02,2.23,6.7,92.48,0.8,7937.0,25.6,1.0
2022-07-19 05:24:02,2.79,6.7,92.48,2.4,7813.0,25.6,1.0
2022-07-19 05:29:02,3.35,6.7,92.48,3.2,7692.0,25.59,1.0
2022-07-19 05:34:03,3.91,6.7,92.48,2.4,7813.0,25.58,1.0
2022-07-19 05:39:03,4.47,6.7,92.48,0.0,7813.0,25.58,2.0
2022-07-19 05:44:03,5.02,6.7,92.48,0.0,7937.0,25.57,3.0
2022-07-19 05:49:03,5.58,6.7,92.48,0.0,7937.0,25.56,4.0
2022-07-19 05:54:03,6.14,6.7,92.48,1.6,7813.0,25.56,10.0
2022-07-19 05:59:03,6.7,6.7,92.48,0.0,7692.0,25.55,22.0
2022-07-19 06:04:03,0.55,6.7,99.18,2.4,7813.0,25.55,42.0
2022-07-19 06:09:03,1.11,6.7,99.18,0.0,7813.0,25.55,61.0
2022-07-19 06:14:03,1.67,6.7,99.18,0.0,7813.0,25.55,120.0
2022-07-19 06:19:03,2.23,6.7,99.18,0.0,7813.0,25.54,165.0
2022-07-19 06:24:03,2.79,6.7,99.18,1.6,7937.0,25.53,234.0
2022-07-19 06:29:03,3.35,6.7,99.18,1.6,7937.0,25.53,353.0
2022-07-19 06:34:03,3.91,6.7,99.18,1.6,7937.0,25.52,652.0
2022-07-19 06:39:03,4.47,6.7,99.18,1.6,7813.0,25.52,1098.0
2022-07-19 06:44:03,5.02,6.7,99.18,0.8,7813.0,25.51,1037.0
2022-07-19 06:49:03,5.58,6.7,99.18,0.8,7813.0,25.5,1334.0
2022-07-19 06:54:03,6.14,6.7,99.18,2.4,7813.0,25.5,2189.0
2022-07-19 06:59:03,6.7,6.7,99.18,0.0,7813.0,25.49,1251.0
2022-07-19 07:04:04,0.55,6.7,105.89,1.6,7813.0,25.49,1799.0
2022-07-19 07:09:04,1.11,6.7,105.89,0.0,7692.0,25.49,2905.0
2022-07-19 07:14:04,1.67,6.7,105.89,0.8,7813.0,25.49,4051.0
2022-07-19 07:19:04,2.23,6.7,105.89,2.4,7937.0,25.48,3229.0
2022-07-19 07:24:04,2.79,6.7,105.89,1.6,7692.0,25.47,5552.0
2022-07-19 07:29:04,3.35,6.7,105.89,2.4,7692.0,25.47,6113.0
2022-07-19 07:34:04,3.91,6.7,105.89,0.0,7813.0,25.46,6235.0
2022-07-19 07:39:04,4.47,6.7,105.89,2.4,7813.0,25.46,10365.0
2022-07-19 07:44:04,5.02,6.7,105.89,1.6,7937.0,25.45,12321.0
2022-07-19 07:49:04,5.58,6.7,105.89,5.6,7692.0,25.45,12297.0
2022-07-19 07:54:04,6.14,6.7,105.89,4.8,7813.0,25.44,14259.0
2022-07-19 07:59:04,6.7,6.7,105.89,3.2,7692.0,25.44,13371.0
2022-07-19 08:04:04,0.55,6.7,112.59,2.4,7692.0,25.43,16946.0
2022-07-19 08:09:04,1.11,6.7,112.59,4.0,7813.0,25.43,384.0
2022-07-19 08:14:04,1.67,6.7,112.59,5.6,7813.0,25.43,2873.0
2022-07-19 08:19:04,2.23,6.7,112.59,0.8,7813.0,25.42,14479.0
2022-07-19 08:24:04,2.79,6.7,112.59,3.2,7692.0,25.42,2634.0
2022-07-19 08:29:04,3.35,6.7,112.59,5.6,7692.0,25.42,384.0
2022-07-19 08:34:05,3.91,6.7,112.59,0.8,7692.0,25.42,384.0
2022-07-19 08:39:05,4.47,6.7,112.59,3.2,7692.0,25.42,384.0
2022-07-19 08:44:05,5.02,6.7,112.59,0.0,7813.0,25.42,384.0
2022-07-19 08:49:05,5.58,6.7,112.59,4.0,7692.0,25.42,1218.0
2022-07-19 08:54:05,6.14,6.7,112.59,3.2,7813.0,25.41,15609.0
2022-07-19 08:59:05,6.7,6.7,112.59,5.6,7813.0,25.4,10454.0
2022-07-19 09:04:05,0.55,6.7,119.3,1.6,7813.0,25.39,10539.0
2022-07-19 09:09:05,1.11,6.7,119.3,3.2,7692.0,25.39,5992.0
2022-07-19 09:14:05,1.67,6.7,119.3,1.6,7813.0,25.38,12537.0
2022-07-19 09:19:05,2.23,6.7,119.3,0.8,7813.0,25.38,12881.0
2022-07-19 09:24:05,2.79,6.7,119.3,1.6,7692.0,25.37,15113.0
2022-07-19 09:29:05,3.35,6.7,119.3,3.2,7692.0,25.37,14803.0
2022-07-19 09:34:05,3.91,6.7,119.3,1.6,7692.0,25.37,15999.0
2022-07-19 09:39:05,4.47,6.7,119.3,1.6,7692.0,25.36,15152.0
2022-07-19 09:44:05,5.02,6.7,119.3,4.0,7692.0,25.36,13675.0
2022-07-19 09:49:05,5.58,6.7,119.3,3.2,7813.0,25.36,13369.0
2022-07-19 09:54:05,6.14,6.7,119.3,3.2,7692.0,25.36,10203.0
2022-07-19 09:59:05,6.7,6.7,119.3,2.4,7813.0,25.36,14422.0
2022-07-19 10:04:05,0.55,6.7,126.0,2.4,7692.0,25.36,3940.0
2022-07-19 10:09:09,1.11,6.7,126.0,3.2,7692.0,25.36,2236.0
2022-07-19 10:14:06,1.67,6.7,126.0,3.2,7692.0,25.36,13901.0
2022-07-19 10:19:06,2.23,6.7,126.0,4.0,7813.0,25.36,14311.0
2022-07-19 10:24:06,2.79,6.7,126.0,4.0,7813.0,25.36,12642.0
2022-07-19 10:29:06,3.35,6.7,126.0,2.4,7813.0,25.36,7908.0
2022-07-19 10:34:06,3.91,6.7,126.0,2.4,7813.0,25.35,9564.0
2022-07-19 10:39:06,4.47,6.7,126.0,3.2,7692.0,25.35,10918.0
2022-07-19 10:44:06,5.02,6.7,126.0,1.6,7813.0,25.35,7281.0
2022-07-19 10:49:06,5.58,6.7,126.0,0.8,7813.0,25.36,384.0
2022-07-19 10:54:06,6.14,6.7,126.0,4.0,7813.0,25.36,384.0
2022-07-19 10:59:07,6.7,6.7,126.0,4.0,7813.0,25.36,580.0
2022-07-19 11:04:07,0.55,6.7,132.71,2.4,7692.0,25.36,2080.0
2022-07-19 11:09:06,1.11,6.7,132.71,0.8,7692.0,25.36,7046.0
2022-07-19 11:14:06,1.67,6.7,132.71,0.0,7692.0,25.36,12379.0
2022-07-19 11:19:06,2.23,6.7,132.71,4.0,7692.0,25.37,1082.0
2022-07-19 11:24:06,2.79,6.7,132.71,7.2,7576.0,25.37,384.0
2022-07-19 11:29:06,3.35,6.7,132.71,2.4,7692.0,25.38,384.0
2022-07-19 11:34:07,3.91,6.7,132.71,1.6,7692.0,25.38,3420.0
2022-07-19 11:39:07,4.47,6.7,132.71,8.8,7576.0,25.38,13287.0
2022-07-19 11:44:07,5.02,6.7,132.71,4.0,7576.0,25.39,15460.0
2022-07-19 11:49:07,5.58,6.7,132.71,1.6,7692.0,25.39,384.0
2022-07-19 11:54:07,6.14,6.7,132.71,4.8,7692.0,25.39,639.0
2022-07-19 11:59:07,6.7,6.7,132.71,0.8,7692.0,25.4,3515.0
2022-07-19 12:04:07,0.55,6.7,139.42,0.8,7576.0,25.41,5034.0
2022-07-19 12:09:07,1.11,6.7,139.42,4.0,7576.0,25.41,1612.0
2022-07-19 12:14:07,1.67,6.7,139.42,6.4,7692.0,25.42,1760.0
2022-07-19 12:19:07,2.23,6.7,139.42,5.6,7692.0,25.42,5969.0
2022-07-19 12:24:07,2.79,6.7,139.42,1.6,7576.0,25.42,5379.0
2022-07-19 12:29:07,3.35,6.7,139.42,4.8,7576.0,25.42,1867.0
2022-07-19 12:34:07,3.91,6.7,139.42,13.6,7576.0,25.43,10835.0
2022-07-19 12:39:07,4.47,6.7,139.42,4.0,7692.0,25.43,6846.0
2022-07-19 12:44:07,5.02,6.7,139.42,4.0,7692.0,25.44,9715.0
2022-07-19 12:49:07,5.58,6.7,139.42,3.2,7692.0,25.45,3032.0
2022-07-19 12:54:07,6.14,6.7,139.42,3.2,7692.0,25.45,3554.0
2022-07-19 12:59:07,6.7,6.7,139.42,3.2,7576.0,25.46,2629.0
2022-07-19 13:04:07,0.55,6.7,146.12,1.6,7576.0,25.48,4082.0
2022-07-19 13:09:08,1.11,6.7,146.12,2.4,7576.0,25.49,3027.0
2022-07-19 13:14:08,1.67,6.7,146.12,3.2,7692.0,25.49,3109.0
2022-07-19 13:19:11,2.23,6.7,146.12,4.0,7576.0,25.51,4710.0
2022-07-19 13:25:08,2.79,6.7,146.12,4.8,7692.0,25.52,3336.0
2022-07-19 13:30:08,3.35,6.7,146.12,7.2,7692.0,25.53,1297.0
2022-07-19 13:35:08,3.91,6.7,146.12,8.0,7576.0,25.54,4722.0
2022-07-19 13:40:08,4.47,6.7,146.12,8.0,7692.0,25.55,3697.0
2022-07-19 13:45:09,5.02,6.7,146.12,3.2,7692.0,25.55,6399.0
2022-07-19 13:50:09,5.58,6.7,146.12,7.2,7692.0,25.56,11211.0
2022-07-19 13:55:09,6.14,6.7,146.12,4.0,7576.0,25.58,3947.0
2022-07-19 14:00:09,0.55,6.14,152.27,6.4,7576.0,25.59,6661.0
2022-07-19 14:05:09,1.11,6.14,152.27,4.8,7692.0,25.61,3024.0
2022-07-19 14:10:09,1.67,6.14,152.27,7.2,7692.0,25.62,6422.0
2022-07-19 14:15:09,2.23,6.14,152.27,1.6,7692.0,25.63,15140.0
2022-07-19 14:20:09,2.79,6.14,152.27,8.0,7576.0,25.64,5608.0
2022-07-19 14:25:09,3.35,6.14,152.27,4.0,7692.0,25.66,6729.0
2022-07-19 14:30:09,3.91,6.14,152.27,9.6,7576.0,25.67,9193.0
2022-07-19 14:35:09,4.47,6.14,152.27,9.6,7692.0,25.68,10852.0
2022-07-19 14:40:09,5.02,6.14,152.27,1.6,7576.0,25.7,11652.0
2022-07-19 14:45:09,5.58,6.14,152.27,4.0,7576.0,25.71,8490.0
2022-07-19 14:50:09,6.14,6.14,152.27,2.4,7576.0,25.73,8538.0
2022-07-19 14:55:09,6.7,6.14,152.27,8.0,7692.0,25.73,3860.0
2022-07-19 15:00:09,0.55,6.7,153.66,2.4,7692.0,25.75,4750.0
2022-07-19 15:05:09,1.11,6.7,153.66,3.2,7576.0,25.77,3559.0
2022-07-19 15:10:09,1.67,6.7,153.66,3.2,7692.0,25.79,10158.0
2022-07-19 15:15:09,2.23,6.7,153.66,1.6,7576.0,25.8,6083.0
2022-07-19 15:20:10,2.79,6.7,153.66,3.2,7576.0,25.82,6326.0
2022-07-19 15:26:09,3.35,6.7,153.66,6.4,7576.0,25.83,9961.0
2022-07-19 15:31:09,3.91,6.7,153.66,2.4,7576.0,25.86,12356.0
2022-07-19 15:36:10,4.47,6.7,153.66,4.0,7576.0,25.87,11703.0
2022-07-19 15:42:09,5.02,6.7,153.66,4.8,7576.0,25.88,10206.0
2022-07-19 15:47:09,5.58,6.7,153.66,4.8,7576.0,25.91,9862.0
2022-07-19 15:52:09,6.14,6.7,153.66,3.2,7692.0,25.92,10253.0
2022-07-19 15:57:09,6.7,6.7,153.66,3.2,7576.0,25.93,11744.0
2022-07-19 16:02:09,0.55,6.7,153.66,4.0,7576.0,25.95,11489.0
2022-07-19 16:07:09,1.11,6.7,153.66,4.8,7692.0,25.97,10468.0
2022-07-19 16:12:09,1.67,6.7,153.66,3.2,7576.0,25.98,12252.0
2022-07-19 16:17:10,2.23,6.7,153.66,4.0,7692.0,26.01,10120.0
2022-07-19 16:23:10,2.79,6.7,153.66,3.2,7692.0,26.03,13723.0
2022-07-19 16:29:10,3.35,6.7,153.66,3.2,7813.0,26.05,10598.0
2022-07-19 16:35:13,3.91,6.7,153.66,7.2,7692.0,26.07,9451.0
2022-07-19 16:41:10,4.47,6.7,153.66,2.4,7692.0,26.1,8367.0
2022-07-19 16:47:10,5.02,6.7,153.66,4.8,7692.0,26.12,11462.0
2022-07-19 16:53:10,5.58,6.7,153.66,6.4,7576.0,26.14,8127.0
2022-07-19 16:59:10,0.55,5.58,152.55,2.4,7692.0,26.17,7556.0
2022-07-19 17:05:10,1.11,5.58,152.55,3.2,7813.0,26.19,6973.0
2022-07-19 17:11:10,1.67,5.58,152.55,4.8,7692.0,26.21,6440.0
2022-07-19 17:17:10,2.23,5.58,152.55,3.2,7692.0,26.24,6325.0
2022-07-19 17:23:10,2.79,5.58,152.55,3.2,7692.0,26.25,5611.0
2022-07-19 17:29:10,3.35,5.58,152.55,0.8,7813.0,26.27,4666.0
2022-07-19 17:35:10,3.91,5.58,152.55,6.4,7813.0,26.3,4256.0
2022-07-19 17:41:10,4.47,5.58,152.55,5.6,7813.0,26.31,4095.0
2022-07-19 17:47:10,5.02,5.58,152.55,3.2,7692.0,26.33,4478.0
2022-07-19 17:53:10,5.58,5.58,152.55,2.4,7813.0,26.35,3601.0
2022-07-19 17:59:10,0.55,5.58,151.43,2.4,7813.0,26.37,3856.0
2022-07-19 18:05:10,1.11,5.58,151.43,1.6,7813.0,26.39,3799.0
2022-07-19 18:11:12,1.67,5.58,151.43,1.6,7813.0,26.41,3625.0
2022-07-19 18:17:11,2.23,5.58,151.43,1.6,7813.0,26.43,2824.0
2022-07-19 18:23:11,2.79,5.58,151.43,2.4,7692.0,26.44,2570.0
2022-07-19 18:29:11,3.35,5.58,151.43,1.6,7813.0,26.46,2191.0
2022-07-19 18:35:11,3.91,5.58,151.43,4.0,7692.0,26.48,1749.0
2022-07-19 18:41:11,4.47,5.58,151.43,0.0,7692.0,26.49,1318.0
2022-07-19 18:47:11,5.02,5.58,151.43,2.4,7692.0,26.5,949.0
2022-07-19 18:53:11,5.58,5.58,151.43,0.8,7692.0,26.52,638.0
2022-07-19 18:59:11,0.55,5.58,150.31,0.8,7692.0,26.54,408.0
2022-07-19 19:05:12,1.11,5.58,150.31,2.4,7813.0,26.55,206.0
2022-07-19 19:11:11,1.67,5.58,150.31,0.0,7692.0,26.56,65.0
2022-07-19 19:17:12,2.23,5.58,150.31,3.2,7692.0,26.58,15.0
2022-07-19 19:23:11,2.79,5.58,150.31,1.6,7813.0,26.59,4.0
2022-07-19 19:29:11,3.35,5.58,150.31,4.0,7813.0,26.6,2.0
2022-07-19 19:35:12,3.91,5.58,150.31,4.8,7692.0,26.62,1.0
