,pm1,pm2,pm3,am,sm,st,lum,day,Month,year,hour,min
37,5.58,6.7,18.71,1.6,7813.0,26.0,561.0,18,7,2022,18,10
38,6.14,6.7,18.71,1.6,7813.0,26.0,365.0,18,7,2022,18,11
39,6.7,6.7,18.71,6.4,7937.0,26.01,209.0,18,7,2022,18,12
40,0.55,6.7,25.42,1.6,7813.0,26.02,116.0,18,7,2022,19,1
41,1.11,6.7,25.42,1.6,7813.0,26.02,58.0,18,7,2022,19,2
42,1.67,6.7,25.42,0.8,7813.0,26.03,24.0,18,7,2022,19,3
43,2.23,6.7,25.42,0.8,7937.0,26.03,8.0,18,7,2022,19,4
44,2.79,6.7,25.42,5.6,7692.0,26.04,3.0,18,7,2022,19,5
45,3.35,6.7,25.42,3.2,7937.0,26.05,1.0,18,7,2022,19,6
46,3.91,6.7,25.42,0.8,7937.0,26.05,1.0,18,7,2022,19,7
47,4.47,6.7,25.42,3.2,7813.0,26.05,1.0,18,7,2022,19,8
48,5.02,6.7,25.42,0.8,7813.0,26.05,1.0,18,7,2022,19,9
49,5.58,6.7,25.42,2.4,7813.0,26.05,1.0,18,7,2022,19,10
50,6.14,6.7,25.42,4.8,7937.0,26.06,1.0,18,7,2022,19,11
51,6.7,6.7,25.42,3.2,7813.0,26.06,1.0,18,7,2022,19,12
52,0.55,6.7,32.13,3.2,7937.0,26.06,1.0,18,7,2022,20,1
53,1.11,6.7,32.13,2.4,7813.0,26.07,1.0,18,7,2022,20,2
54,1.67,6.7,32.13,3.2,7813.0,26.07,1.0,18,7,2022,20,3
55,2.23,6.7,32.13,1.6,7937.0,26.07,1.0,18,7,2022,20,4
56,2.79,6.7,32.13,0.0,7813.0,26.07,1.0,18,7,2022,20,5
57,3.35,6.7,32.13,4.0,7937.0,26.08,1.0,18,7,2022,20,6
58,3.91,6.7,32.13,0.8,7813.0,26.08,1.0,18,7,2022,20,7
59,4.47,6.7,32.13,3.2,7937.0,26.08,1.0,18,7,2022,20,8
60,5.02,6.7,32.13,1.6,7937.0,26.08,1.0,18,7,2022,20,9
61,5.58,6.7,32.13,0.0,7937.0,26.08,1.0,18,7,2022,20,10
62,6.14,6.7,32.13,1.6,7813.0,26.08,1.0,18,7,2022,20,11
63,6.7,6.7,32.13,0.0,7692.0,26.08,1.0,18,7,2022,20,12
64,0.55,6.7,38.83,2.4,7813.0,26.08,1.0,18,7,2022,21,1
65,1.11,6.7,38.83,2.4,7937.0,26.08,1.0,18,7,2022,21,2
66,1.67,6.7,38.83,0.8,7937.0,26.08,1.0,18,7,2022,21,3
67,2.23,6.7,38.83,1.6,7937.0,26.08,1.0,18,7,2022,21,4
68,2.79,6.7,38.83,4.8,7692.0,26.08,1.0,18,7,2022,21,5
69,3.35,6.7,38.83,0.8,7692.0,26.07,1.0,18,7,2022,21,6
70,3.91,6.7,38.83,2.4,7813.0,26.07,1.0,18,7,2022,21,7
71,4.47,6.7,38.83,0.8,7937.0,26.07,1.0,18,7,2022,21,8
72,5.02,6.7,38.83,2.4,7937.0,26.07,1.0,18,7,2022,21,9
73,5.58,6.7,38.83,0.8,7937.0,26.06,1.0,18,7,2022,21,10
74,6.14,6.7,38.83,0.8,7813.0,26.06,1.0,18,7,2022,21,11
75,6.7,6.7,38.83,0.8,7937.0,26.06,1.0,18,7,2022,21,12
76,0.55,6.7,45.54,1.6,7937.0,26.06,1.0,18,7,2022,22,1
77,1.11,6.7,45.54,0.0,7937.0,26.06,1.0,18,7,2022,22,2
78,1.67,6.7,45.54,1.6,7937.0,26.05,1.0,18,7,2022,22,3
79,2.23,6.7,45.54,0.0,7937.0,26.05,1.0,18,7,2022,22,4
80,2.79,6.7,45.54,1.6,7937.0,26.05,1.0,18,7,2022,22,5
81,3.35,6.7,45.54,1.6,7937.0,26.05,1.0,18,7,2022,22,6
82,3.91,6.7,45.54,1.6,7813.0,26.04,1.0,18,7,2022,22,7
83,4.47,6.7,45.54,2.4,7813.0,26.04,1.0,18,7,2022,22,8
84,5.02,6.7,45.54,1.6,7813.0,26.03,1.0,18,7,2022,22,9
85,5.58,6.7,45.54,1.6,7813.0,26.03,1.0,18,7,2022,22,10
86,6.14,6.7,45.54,0.8,7813.0,26.02,1.0,18,7,2022,22,11
87,6.7,6.7,45.54,1.6,7813.0,26.02,1.0,18,7,2022,22,12
88,0.55,6.7,52.24,0.0,7813.0,26.01,1.0,18,7,2022,23,1
89,1.11,6.7,52.24,0.0,7813.0,26.01,1.0,18,7,2022,23,2
90,1.67,6.7,52.24,2.4,7937.0,26.0,1.0,18,7,2022,23,3
91,2.23,6.7,52.24,3.2,7937.0,26.0,1.0,18,7,2022,23,4
92,2.79,6.7,52.24,1.6,7937.0,25.99,1.0,18,7,2022,23,5
93,3.35,6.7,52.24,2.4,7813.0,25.99,1.0,18,7,2022,23,6
94,3.91,6.7,52.24,1.6,7937.0,25.98,1.0,18,7,2022,23,7
95,4.47,6.7,52.24,2.4,7937.0,25.98,1.0,18,7,2022,23,8
96,5.02,6.7,52.24,0.8,7937.0,25.98,1.0,18,7,2022,23,9
97,5.58,6.7,52.24,0.0,7813.0,25.98,1.0,18,7,2022,23,10
98,6.14,6.7,52.24,1.6,7937.0,25.97,1.0,18,7,2022,23,11
99,6.7,6.7,52.24,2.4,7937.0,25.96,1.0,18,7,2022,23,12
100,0.55,6.7,58.95,0.8,7937.0,25.96,1.0,19,7,2022,0,1
101,1.11,6.7,58.95,1.6,7937.0,25.95,1.0,19,7,2022,0,2
102,1.67,6.7,58.95,0.8,7813.0,25.94,1.0,19,7,2022,0,3
103,2.23,6.7,58.95,0.8,7937.0,25.94,1.0,19,7,2022,0,4
104,2.79,6.7,58.95,4.0,7813.0,25.93,1.0,19,7,2022,0,5
105,3.35,6.7,58.95,0.8,7937.0,25.93,1.0,19,7,2022,0,6
106,3.91,6.7,58.95,1.6,7937.0,25.92,1.0,19,7,2022,0,7
107,4.47,6.7,58.95,0.0,7937.0,25.92,1.0,19,7,2022,0,8
108,5.02,6.7,58.95,0.8,7937.0,25.92,1.0,19,7,2022,0,9
109,5.58,6.7,58.95,2.4,7937.0,25.91,1.0,19,7,2022,0,10
110,6.14,6.7,58.95,0.8,7937.0,25.9,1.0,19,7,2022,0,11
111,6.7,6.7,58.95,0.0,7692.0,25.9,1.0,19,7,2022,0,12
112,0.55,6.7,65.65,0.8,7813.0,25.89,1.0,19,7,2022,1,1
113,1.11,6.7,65.65,0.8,7813.0,25.88,1.0,19,7,2022,1,2
114,1.67,6.7,65.65,1.6,7937.0,25.88,1.0,19,7,2022,1,3
115,2.23,6.7,65.65,1.6,7813.0,25.87,1.0,19,7,2022,1,4
116,2.79,6.7,65.65,1.6,7813.0,25.87,1.0,19,7,2022,1,5
117,3.35,6.7,65.65,2.4,7937.0,25.86,1.0,19,7,2022,1,6
118,3.91,6.7,65.65,0.8,7813.0,25.86,1.0,19,7,2022,1,7
119,4.47,6.7,65.65,0.0,7813.0,25.85,1.0,19,7,2022,1,8
120,5.02,6.7,65.65,2.4,7937.0,25.85,1.0,19,7,2022,1,9
121,5.58,6.7,65.65,0.0,7813.0,25.84,1.0,19,7,2022,1,10
122,6.14,6.7,65.65,0.0,7813.0,25.83,1.0,19,7,2022,1,11
123,6.7,6.7,65.65,0.0,7692.0,25.83,1.0,19,7,2022,1,12
124,0.55,6.7,72.36,3.2,7813.0,25.82,1.0,19,7,2022,2,1
125,1.11,6.7,72.36,3.2,7813.0,25.81,1.0,19,7,2022,2,2
126,1.67,6.7,72.36,2.4,7813.0,25.81,1.0,19,7,2022,2,3
127,2.23,6.7,72.36,3.2,7937.0,25.8,1.0,19,7,2022,2,4
128,2.79,6.7,72.36,2.4,7937.0,25.8,1.0,19,7,2022,2,5
129,3.35,6.7,72.36,3.2,7937.0,25.79,1.0,19,7,2022,2,6
130,3.91,6.7,72.36,2.4,7937.0,25.79,1.0,19,7,2022,2,7
131,4.47,6.7,72.36,2.4,7937.0,25.78,1.0,19,7,2022,2,8
132,5.02,6.7,72.36,3.2,7813.0,25.78,1.0,19,7,2022,2,9
133,5.58,6.7,72.36,4.0,7937.0,25.77,1.0,19,7,2022,2,10
134,6.14,6.7,72.36,2.4,7937.0,25.76,1.0,19,7,2022,2,11
135,6.7,6.7,72.36,0.0,7813.0,25.76,1.0,19,7,2022,2,12
136,0.55,6.7,79.07,0.8,7813.0,25.75,1.0,19,7,2022,3,1
137,1.11,6.7,79.07,0.0,7937.0,25.74,1.0,19,7,2022,3,2
138,1.67,6.7,79.07,3.2,7937.0,25.73,1.0,19,7,2022,3,3
139,2.23,6.7,79.07,0.0,7813.0,25.73,1.0,19,7,2022,3,4
140,2.79,6.7,79.07,0.0,7937.0,25.73,1.0,19,7,2022,3,5
141,3.35,6.7,79.07,1.6,7937.0,25.73,1.0,19,7,2022,3,6
142,3.91,6.7,79.07,0.0,7937.0,25.72,1.0,19,7,2022,3,7
143,4.47,6.7,79.07,0.8,7813.0,25.71,1.0,19,7,2022,3,8
144,5.02,6.7,79.07,0.8,7813.0,25.7,1.0,19,7,2022,3,9
145,5.58,6.7,79.07,0.8,7813.0,25.7,1.0,19,7,2022,3,10
146,6.14,6.7,79.07,1.6,7813.0,25.69,1.0,19,7,2022,3,11
147,6.7,6.7,79.07,0.0,7813.0,25.69,1.0,19,7,2022,3,12
148,0.55,6.7,85.77,2.4,7813.0,25.68,1.0,19,7,2022,4,1
149,1.11,6.7,85.77,4.0,7937.0,25.67,1.0,19,7,2022,4,2
150,1.67,6.7,85.77,1.6,7692.0,25.67,1.0,19,7,2022,4,3
151,2.23,6.7,85.77,0.8,7813.0,25.67,1.0,19,7,2022,4,4
152,2.79,6.7,85.77,2.4,7813.0,25.66,1.0,19,7,2022,4,5
153,3.35,6.7,85.77,0.0,7813.0,25.66,1.0,19,7,2022,4,6
154,3.91,6.7,85.77,4.0,7813.0,25.65,1.0,19,7,2022,4,7
155,4.47,6.7,85.77,2.4,7813.0,25.64,1.0,19,7,2022,4,8
156,5.02,6.7,85.77,1.6,7813.0,25.64,1.0,19,7,2022,4,9
157,5.58,6.7,85.77,2.4,7813.0,25.63,1.0,19,7,2022,4,10
158,6.14,6.7,85.77,2.4,7813.0,25.62,1.0,19,7,2022,4,11
159,6.7,6.7,85.77,3.2,7813.0,25.62,1.0,19,7,2022,4,12
160,0.55,6.7,92.48,1.6,7692.0,25.61,1.0,19,7,2022,5,1
161,1.11,6.7,92.48,4.0,7692.0,25.61,1.0,19,7,2022,5,2
162,1.67,6.7,92.48,6.4,7813.0,25.61,1.0,19,7,2022,5,3
163,2.23,6.7,92.48,0.8,7937.0,25.6,1.0,19,7,2022,5,4
164,2.79,6.7,92.48,2.4,7813.0,25.6,1.0,19,7,2022,5,5
165,3.35,6.7,92.48,3.2,7692.0,25.59,1.0,19,7,2022,5,6
166,3.91,6.7,92.48,2.4,7813.0,25.58,1.0,19,7,2022,5,7
167,4.47,6.7,92.48,0.0,7813.0,25.58,2.0,19,7,2022,5,8
168,5.02,6.7,92.48,0.0,7937.0,25.57,3.0,19,7,2022,5,9
169,5.58,6.7,92.48,0.0,7937.0,25.56,4.0,19,7,2022,5,10
170,6.14,6.7,92.48,1.6,7813.0,25.56,10.0,19,7,2022,5,11
171,6.7,6.7,92.48,0.0,7692.0,25.55,22.0,19,7,2022,5,12
172,0.55,6.7,99.18,2.4,7813.0,25.55,42.0,19,7,2022,6,1
173,1.11,6.7,99.18,0.0,7813.0,25.55,61.0,19,7,2022,6,2
174,1.67,6.7,99.18,0.0,7813.0,25.55,120.0,19,7,2022,6,3
175,2.23,6.7,99.18,0.0,7813.0,25.54,165.0,19,7,2022,6,4
176,2.79,6.7,99.18,1.6,7937.0,25.53,234.0,19,7,2022,6,5
177,3.35,6.7,99.18,1.6,7937.0,25.53,353.0,19,7,2022,6,6
178,3.91,6.7,99.18,1.6,7937.0,25.52,652.0,19,7,2022,6,7
179,4.47,6.7,99.18,1.6,7813.0,25.52,1098.0,19,7,2022,6,8
180,5.02,6.7,99.18,0.8,7813.0,25.51,1037.0,19,7,2022,6,9
181,5.58,6.7,99.18,0.8,7813.0,25.5,1334.0,19,7,2022,6,10
182,6.14,6.7,99.18,2.4,7813.0,25.5,2189.0,19,7,2022,6,11
183,6.7,6.7,99.18,0.0,7813.0,25.49,1251.0,19,7,2022,6,12
184,0.55,6.7,105.89,1.6,7813.0,25.49,1799.0,19,7,2022,7,1
185,1.11,6.7,105.89,0.0,7692.0,25.49,2905.0,19,7,2022,7,2
186,1.67,6.7,105.89,0.8,7813.0,25.49,4051.0,19,7,2022,7,3
187,2.23,6.7,105.89,2.4,7937.0,25.48,3229.0,19,7,2022,7,4
188,2.79,6.7,105.89,1.6,7692.0,25.47,5552.0,19,7,2022,7,5
189,3.35,6.7,105.89,2.4,7692.0,25.47,6113.0,19,7,2022,7,6
190,3.91,6.7,105.89,0.0,7813.0,25.46,6235.0,19,7,2022,7,7
191,4.47,6.7,105.89,2.4,7813.0,25.46,10365.0,19,7,2022,7,8
192,5.02,6.7,105.89,1.6,7937.0,25.45,12321.0,19,7,2022,7,9
193,5.58,6.7,105.89,5.6,7692.0,25.45,12297.0,19,7,2022,7,10
194,6.14,6.7,105.89,4.8,7813.0,25.44,14259.0,19,7,2022,7,11
195,6.7,6.7,105.89,3.2,7692.0,25.44,13371.0,19,7,2022,7,12
196,0.55,6.7,112.59,2.4,7692.0,25.43,16946.0,19,7,2022,8,1
197,1.11,6.7,112.59,4.0,7813.0,25.43,384.0,19,7,2022,8,2
198,1.67,6.7,112.59,5.6,7813.0,25.43,2873.0,19,7,2022,8,3
199,2.23,6.7,112.59,0.8,7813.0,25.42,14479.0,19,7,2022,8,4
200,2.79,6.7,112.59,3.2,7692.0,25.42,2634.0,19,7,2022,8,5
201,3.35,6.7,112.59,5.6,7692.0,25.42,384.0,19,7,2022,8,6
202,3.91,6.7,112.59,0.8,7692.0,25.42,384.0,19,7,2022,8,7
203,4.47,6.7,112.59,3.2,7692.0,25.42,384.0,19,7,2022,8,8
204,5.02,6.7,112.59,0.0,7813.0,25.42,384.0,19,7,2022,8,9
205,5.58,6.7,112.59,4.0,7692.0,25.42,1218.0,19,7,2022,8,10
206,6.14,6.7,112.59,3.2,7813.0,25.41,15609.0,19,7,2022,8,11
207,6.7,6.7,112.59,5.6,7813.0,25.4,10454.0,19,7,2022,8,12
208,0.55,6.7,119.3,1.6,7813.0,25.39,10539.0,19,7,2022,9,1
209,1.11,6.7,119.3,3.2,7692.0,25.39,5992.0,19,7,2022,9,2
210,1.67,6.7,119.3,1.6,7813.0,25.38,12537.0,19,7,2022,9,3
211,2.23,6.7,119.3,0.8,7813.0,25.38,12881.0,19,7,2022,9,4
212,2.79,6.7,119.3,1.6,7692.0,25.37,15113.0,19,7,2022,9,5
213,3.35,6.7,119.3,3.2,7692.0,25.37,14803.0,19,7,2022,9,6
214,3.91,6.7,119.3,1.6,7692.0,25.37,15999.0,19,7,2022,9,7
215,4.47,6.7,119.3,1.6,7692.0,25.36,15152.0,19,7,2022,9,8
216,5.02,6.7,119.3,4.0,7692.0,25.36,13675.0,19,7,2022,9,9
217,5.58,6.7,119.3,3.2,7813.0,25.36,13369.0,19,7,2022,9,10
218,6.14,6.7,119.3,3.2,7692.0,25.36,10203.0,19,7,2022,9,11
219,6.7,6.7,119.3,2.4,7813.0,25.36,14422.0,19,7,2022,9,12
220,0.55,6.7,126.0,2.4,7692.0,25.36,3940.0,19,7,2022,10,1
221,1.11,6.7,126.0,3.2,7692.0,25.36,2236.0,19,7,2022,10,2
222,1.67,6.7,126.0,3.2,7692.0,25.36,13901.0,19,7,2022,10,3
223,2.23,6.7,126.0,4.0,7813.0,25.36,14311.0,19,7,2022,10,4
224,2.79,6.7,126.0,4.0,7813.0,25.36,12642.0,19,7,2022,10,5
225,3.35,6.7,126.0,2.4,7813.0,25.36,7908.0,19,7,2022,10,6
226,3.91,6.7,126.0,2.4,7813.0,25.35,9564.0,19,7,2022,10,7
227,4.47,6.7,126.0,3.2,7692.0,25.35,10918.0,19,7,2022,10,8
228,5.02,6.7,126.0,1.6,7813.0,25.35,7281.0,19,7,2022,10,9
229,5.58,6.7,126.0,0.8,7813.0,25.36,384.0,19,7,2022,10,10
230,6.14,6.7,126.0,4.0,7813.0,25.36,384.0,19,7,2022,10,11
231,6.7,6.7,126.0,4.0,7813.0,25.36,580.0,19,7,2022,10,12
232,0.55,6.7,132.71,2.4,7692.0,25.36,2080.0,19,7,2022,11,1
233,1.11,6.7,132.71,0.8,7692.0,25.36,7046.0,19,7,2022,11,2
234,1.67,6.7,132.71,0.0,7692.0,25.36,12379.0,19,7,2022,11,3
235,2.23,6.7,132.71,4.0,7692.0,25.37,1082.0,19,7,2022,11,4
236,2.79,6.7,132.71,7.2,7576.0,25.37,384.0,19,7,2022,11,5
237,3.35,6.7,132.71,2.4,7692.0,25.38,384.0,19,7,2022,11,6
238,3.91,6.7,132.71,1.6,7692.0,25.38,3420.0,19,7,2022,11,7
239,4.47,6.7,132.71,8.8,7576.0,25.38,13287.0,19,7,2022,11,8
240,5.02,6.7,132.71,4.0,7576.0,25.39,15460.0,19,7,2022,11,9
241,5.58,6.7,132.71,1.6,7692.0,25.39,384.0,19,7,2022,11,10
242,6.14,6.7,132.71,4.8,7692.0,25.39,639.0,19,7,2022,11,11
243,6.7,6.7,132.71,0.8,7692.0,25.4,3515.0,19,7,2022,11,12
244,0.55,6.7,139.42,0.8,7576.0,25.41,5034.0,19,7,2022,12,1
245,1.11,6.7,139.42,4.0,7576.0,25.41,1612.0,19,7,2022,12,2
246,1.67,6.7,139.42,6.4,7692.0,25.42,1760.0,19,7,2022,12,3
247,2.23,6.7,139.42,5.6,7692.0,25.42,5969.0,19,7,2022,12,4
248,2.79,6.7,139.42,1.6,7576.0,25.42,5379.0,19,7,2022,12,5
249,3.35,6.7,139.42,4.8,7576.0,25.42,1867.0,19,7,2022,12,6
250,3.91,6.7,139.42,13.6,7576.0,25.43,10835.0,19,7,2022,12,7
251,4.47,6.7,139.42,4.0,7692.0,25.43,6846.0,19,7,2022,12,8
252,5.02,6.7,139.42,4.0,7692.0,25.44,9715.0,19,7,2022,12,9
253,5.58,6.7,139.42,3.2,7692.0,25.45,3032.0,19,7,2022,12,10
254,6.14,6.7,139.42,3.2,7692.0,25.45,3554.0,19,7,2022,12,11
255,6.7,6.7,139.42,3.2,7576.0,25.46,2629.0,19,7,2022,12,12
256,0.55,6.7,146.12,1.6,7576.0,25.48,4082.0,19,7,2022,13,1
257,1.11,6.7,146.12,2.4,7576.0,25.49,3027.0,19,7,2022,13,2
258,1.67,6.7,146.12,3.2,7692.0,25.49,3109.0,19,7,2022,13,3
259,2.23,6.7,146.12,4.0,7576.0,25.51,4710.0,19,7,2022,13,4
260,2.79,6.7,146.12,4.8,7692.0,25.52,3336.0,19,7,2022,13,6
261,3.35,6.7,146.12,7.2,7692.0,25.53,1297.0,19,7,2022,13,7
262,3.91,6.7,146.12,8.0,7576.0,25.54,4722.0,19,7,2022,13,8
263,4.47,6.7,146.12,8.0,7692.0,25.55,3697.0,19,7,2022,13,9
264,5.02,6.7,146.12,3.2,7692.0,25.55,6399.0,19,7,2022,13,10
265,5.58,6.7,146.12,7.2,7692.0,25.56,11211.0,19,7,2022,13,11
266,6.14,6.7,146.12,4.0,7576.0,25.58,3947.0,19,7,2022,13,12
267,0.55,6.14,152.27,6.4,7576.0,25.59,6661.0,19,7,2022,14,1
268,1.11,6.14,152.27,4.8,7692.0,25.61,3024.0,19,7,2022,14,2
269,1.67,6.14,152.27,7.2,7692.0,25.62,6422.0,19,7,2022,14,3
270,2.23,6.14,152.27,1.6,7692.0,25.63,15140.0,19,7,2022,14,4
271,2.79,6.14,152.27,8.0,7576.0,25.64,5608.0,19,7,2022,14,5
272,3.35,6.14,152.27,4.0,7692.0,25.66,6729.0,19,7,2022,14,6
273,3.91,6.14,152.27,9.6,7576.0,25.67,9193.0,19,7,2022,14,7
274,4.47,6.14,152.27,9.6,7692.0,25.68,10852.0,19,7,2022,14,8
275,5.02,6.14,152.27,1.6,7576.0,25.7,11652.0,19,7,2022,14,9
276,5.58,6.14,152.27,4.0,7576.0,25.71,8490.0,19,7,2022,14,10
277,6.14,6.14,152.27,2.4,7576.0,25.73,8538.0,19,7,2022,14,11
278,6.7,6.14,152.27,8.0,7692.0,25.73,3860.0,19,7,2022,14,12
279,0.55,6.7,153.66,2.4,7692.0,25.75,4750.0,19,7,2022,15,1
280,1.11,6.7,153.66,3.2,7576.0,25.77,3559.0,19,7,2022,15,2
281,1.67,6.7,153.66,3.2,7692.0,25.79,10158.0,19,7,2022,15,3
282,2.23,6.7,153.66,1.6,7576.0,25.8,6083.0,19,7,2022,15,4
283,2.79,6.7,153.66,3.2,7576.0,25.82,6326.0,19,7,2022,15,5
284,3.35,6.7,153.66,6.4,7576.0,25.83,9961.0,19,7,2022,15,6
285,3.91,6.7,153.66,2.4,7576.0,25.86,12356.0,19,7,2022,15,7
286,4.47,6.7,153.66,4.0,7576.0,25.87,11703.0,19,7,2022,15,8
287,5.02,6.7,153.66,4.8,7576.0,25.88,10206.0,19,7,2022,15,9
288,5.58,6.7,153.66,4.8,7576.0,25.91,9862.0,19,7,2022,15,10
289,6.14,6.7,153.66,3.2,7692.0,25.92,10253.0,19,7,2022,15,11
290,6.7,6.7,153.66,3.2,7576.0,25.93,11744.0,19,7,2022,15,12
291,0.55,6.7,153.66,4.0,7576.0,25.95,11489.0,19,7,2022,16,1
292,1.11,6.7,153.66,4.8,7692.0,25.97,10468.0,19,7,2022,16,2
293,1.67,6.7,153.66,3.2,7576.0,25.98,12252.0,19,7,2022,16,3
294,2.23,6.7,153.66,4.0,7692.0,26.01,10120.0,19,7,2022,16,4
295,2.79,6.7,153.66,3.2,7692.0,26.03,13723.0,19,7,2022,16,5
296,3.35,6.7,153.66,3.2,7813.0,26.05,10598.0,19,7,2022,16,6
297,3.91,6.7,153.66,7.2,7692.0,26.07,9451.0,19,7,2022,16,8
298,4.47,6.7,153.66,2.4,7692.0,26.1,8367.0,19,7,2022,16,9
299,5.02,6.7,153.66,4.8,7692.0,26.12,11462.0,19,7,2022,16,10
300,5.58,6.7,153.66,6.4,7576.0,26.14,8127.0,19,7,2022,16,11
301,0.55,5.58,152.55,2.4,7692.0,26.17,7556.0,19,7,2022,16,12
302,1.11,5.58,152.55,3.2,7813.0,26.19,6973.0,19,7,2022,17,2
303,1.67,5.58,152.55,4.8,7692.0,26.21,6440.0,19,7,2022,17,3
304,2.23,5.58,152.55,3.2,7692.0,26.24,6325.0,19,7,2022,17,4
305,2.79,5.58,152.55,3.2,7692.0,26.25,5611.0,19,7,2022,17,5
306,3.35,5.58,152.55,0.8,7813.0,26.27,4666.0,19,7,2022,17,6
307,3.91,5.58,152.55,6.4,7813.0,26.3,4256.0,19,7,2022,17,8
308,4.47,5.58,152.55,5.6,7813.0,26.31,4095.0,19,7,2022,17,9
309,5.02,5.58,152.55,3.2,7692.0,26.33,4478.0,19,7,2022,17,10
310,5.58,5.58,152.55,2.4,7813.0,26.35,3601.0,19,7,2022,17,11
311,0.55,5.58,151.43,2.4,7813.0,26.37,3856.0,19,7,2022,17,12
312,1.11,5.58,151.43,1.6,7813.0,26.39,3799.0,19,7,2022,18,2
313,1.67,5.58,151.43,1.6,7813.0,26.41,3625.0,19,7,2022,18,3
314,2.23,5.58,151.43,1.6,7813.0,26.43,2824.0,19,7,2022,18,4
315,2.79,5.58,151.43,2.4,7692.0,26.44,2570.0,19,7,2022,18,5
316,3.35,5.58,151.43,1.6,7813.0,26.46,2191.0,19,7,2022,18,6
317,3.91,5.58,151.43,4.0,7692.0,26.48,1749.0,19,7,2022,18,8
318,4.47,5.58,151.43,0.0,7692.0,26.49,1318.0,19,7,2022,18,9
319,5.02,5.58,151.43,2.4,7692.0,26.5,949.0,19,7,2022,18,10
320,5.58,5.58,151.43,0.8,7692.0,26.52,638.0,19,7,2022,18,11
321,0.55,5.58,150.31,0.8,7692.0,26.54,408.0,19,7,2022,18,12
322,1.11,5.58,150.31,2.4,7813.0,26.55,206.0,19,7,2022,19,2
323,1.67,5.58,150.31,0.0,7692.0,26.56,65.0,19,7,2022,19,3
324,2.23,5.58,150.31,3.2,7692.0,26.58,15.0,19,7,2022,19,4
325,2.79,5.58,150.31,1.6,7813.0,26.59,4.0,19,7,2022,19,5
326,3.35,5.58,150.31,4.0,7813.0,26.6,2.0,19,7,2022,19,6
