,pm1,pm2,pm3,am,sm,lum,temp,humd,pres,day,Month,year,hour,min
150,1.67,6.7,82.98,0.0,7246.0,1.0,20.45,95.31,92879.3,19,7,2022,4,3
151,2.23,6.7,82.98,0.0,7353.0,1.0,20.45,95.28,92884.06,19,7,2022,4,4
152,2.79,6.7,82.98,0.0,7246.0,1.0,20.44,95.1,92878.38,19,7,2022,4,5
153,3.35,6.7,82.98,0.0,7246.0,1.0,20.45,95.16,92871.61,19,7,2022,4,6
154,3.91,6.7,82.98,0.0,7246.0,1.0,20.45,95.32,92877.09,19,7,2022,4,7
155,4.47,6.7,82.98,0.0,7246.0,1.0,20.43,95.38,92875.64,19,7,2022,4,8
156,5.02,6.7,82.98,0.0,7246.0,1.0,20.29,95.5,92859.88,19,7,2022,4,9
157,5.58,6.7,82.98,0.0,7246.0,1.0,20.14,96.1,92873.74,19,7,2022,4,10
158,6.14,6.7,82.98,0.0,7246.0,1.0,20.2,96.33,92872.82,19,7,2022,4,11
159,6.7,6.7,82.98,0.0,7246.0,1.0,20.25,96.36,92876.68,19,7,2022,4,12
160,0.55,6.7,89.68,0.0,7246.0,1.0,20.2,96.3,92886.54,19,7,2022,5,1
161,1.11,6.7,89.68,0.0,7246.0,1.0,20.2,96.31,92891.3,19,7,2022,5,2
162,1.67,6.7,89.68,0.0,7246.0,1.0,20.15,96.25,92907.36,19,7,2022,5,3
163,2.23,6.7,89.68,0.0,7246.0,1.0,20.11,96.5,92908.25,19,7,2022,5,4
164,2.79,6.7,89.68,0.0,7246.0,1.0,20.11,96.61,92906.78,19,7,2022,5,5
165,3.35,6.7,89.68,0.0,7246.0,1.0,20.06,96.77,92909.88,19,7,2022,5,6
166,3.91,6.7,89.68,0.0,7246.0,1.0,20.1,96.88,92915.0,19,7,2022,5,7
167,4.47,6.7,89.68,0.0,7246.0,1.0,20.17,96.69,92921.8,19,7,2022,5,8
168,5.02,6.7,89.68,0.0,7246.0,1.0,20.2,96.82,92917.99,19,7,2022,5,9
169,5.58,6.7,89.68,0.0,7246.0,3.0,20.2,96.83,92917.43,19,7,2022,5,10
170,6.14,6.7,89.68,0.0,7246.0,6.0,20.25,96.72,92921.28,19,7,2022,5,11
171,6.7,6.7,89.68,0.0,7246.0,13.0,20.31,96.65,92929.37,19,7,2022,5,12
172,0.55,6.7,96.39,0.0,7246.0,29.0,20.35,96.46,92932.47,19,7,2022,6,1
173,1.11,6.7,96.39,0.0,7246.0,48.0,20.4,96.36,92937.07,19,7,2022,6,2
174,1.67,6.7,96.39,0.0,7246.0,87.0,20.44,96.02,92930.5,19,7,2022,6,3
175,2.23,6.7,96.39,0.0,7246.0,136.0,20.44,96.24,92942.2,19,7,2022,6,4
176,2.79,6.7,96.39,0.0,7353.0,195.0,20.37,96.48,92941.45,19,7,2022,6,5
177,3.35,6.7,96.39,0.0,7246.0,361.0,20.37,96.81,92951.87,19,7,2022,6,6
178,3.91,6.7,96.39,0.0,7246.0,548.0,20.37,96.89,92946.37,19,7,2022,6,7
179,4.47,6.7,96.39,0.0,7246.0,1013.0,20.45,96.98,92943.69,19,7,2022,6,8
180,5.02,6.7,96.39,0.0,7246.0,939.0,20.53,96.78,92958.7,19,7,2022,6,9
181,5.58,6.7,96.39,0.0,7246.0,1165.0,20.59,96.68,92955.81,19,7,2022,6,10
182,6.14,6.7,96.39,0.0,7246.0,1712.0,20.65,96.48,92967.56,19,7,2022,6,11
183,0.55,6.7,103.09,0.0,7246.0,1452.0,20.86,95.72,92976.93,19,7,2022,7,1
184,1.11,6.7,103.09,0.0,7246.0,2578.0,20.85,95.67,92980.97,19,7,2022,7,2
185,1.67,6.7,103.09,0.0,7246.0,3333.0,20.87,95.76,92981.15,19,7,2022,7,3
186,2.23,6.7,103.09,0.0,7246.0,3006.0,21.02,95.66,92992.88,19,7,2022,7,4
187,2.79,6.7,103.09,0.0,7246.0,4200.0,21.19,94.75,92992.92,19,7,2022,7,5
188,3.35,6.7,103.09,0.0,7353.0,4865.0,21.37,93.86,93000.27,19,7,2022,7,6
189,3.91,6.7,103.09,0.0,7246.0,5218.0,21.48,93.32,93005.99,19,7,2022,7,7
190,4.47,6.7,103.09,0.0,7246.0,6311.0,21.69,93.48,93007.82,19,7,2022,7,8
191,5.02,6.7,103.09,0.0,7246.0,6824.0,21.92,91.68,93001.76,19,7,2022,7,9
192,5.58,6.7,103.09,0.0,7246.0,6213.0,21.97,91.37,93005.61,19,7,2022,7,10
193,6.14,6.7,103.09,0.0,7246.0,5163.0,22.01,91.6,93002.47,19,7,2022,7,11
194,6.7,6.7,103.09,0.0,7246.0,4764.0,21.87,91.42,93017.71,19,7,2022,7,12
195,0.55,6.7,109.8,0.0,7246.0,5434.0,21.93,91.64,93005.78,19,7,2022,8,1
196,1.11,6.7,109.8,0.0,7246.0,6793.0,22.44,89.99,93014.52,19,7,2022,8,2
197,1.67,6.7,109.8,0.0,7246.0,10721.0,23.3,86.72,93023.34,19,7,2022,8,3
198,2.23,6.7,109.8,0.0,7246.0,7057.0,23.22,85.65,93025.22,19,7,2022,8,4
199,2.79,6.7,109.8,0.0,7246.0,9264.0,23.11,86.95,93037.4,19,7,2022,8,5
200,3.35,6.7,109.8,0.0,7246.0,11561.0,24.28,82.92,93045.03,19,7,2022,8,6
201,3.91,6.7,109.8,0.0,7246.0,8025.0,24.2,82.28,93044.39,19,7,2022,8,7
202,4.47,6.7,109.8,0.0,7246.0,9736.0,24.52,82.51,93057.36,19,7,2022,8,8
203,5.02,6.7,109.8,0.0,7246.0,10131.0,24.86,80.16,93058.63,19,7,2022,8,9
204,5.58,6.7,109.8,0.0,7246.0,11597.0,24.96,80.58,93065.7,19,7,2022,8,10
205,6.14,6.7,109.8,0.0,7246.0,10705.0,24.85,80.32,93075.79,19,7,2022,8,11
206,6.7,6.7,109.8,0.0,7246.0,7959.0,24.46,81.99,93079.11,19,7,2022,8,12
207,0.55,6.7,116.5,0.0,7246.0,8282.0,23.47,85.37,93081.84,19,7,2022,9,1
208,1.11,6.7,116.5,0.0,7246.0,6762.0,23.14,88.12,93094.32,19,7,2022,9,2
209,1.67,6.7,116.5,0.0,7246.0,14585.0,22.86,91.39,93089.64,19,7,2022,9,3
210,2.23,6.7,116.5,0.0,7246.0,10638.0,23.22,87.9,93092.82,19,7,2022,9,4
211,2.79,6.7,116.5,0.0,7246.0,13612.0,23.23,88.51,93105.31,19,7,2022,9,5
212,3.35,6.7,116.5,0.0,7246.0,11012.0,23.46,87.1,93112.74,19,7,2022,9,6
213,3.91,6.7,116.5,0.0,7246.0,14083.0,23.65,86.05,93105.44,19,7,2022,9,7
214,4.47,6.7,116.5,0.0,7246.0,13036.0,23.77,85.66,93116.06,19,7,2022,9,8
215,5.02,6.7,116.5,0.0,7353.0,11430.0,23.86,85.03,93125.75,19,7,2022,9,9
216,5.58,6.7,116.5,0.0,7246.0,10777.0,23.79,85.66,93120.47,19,7,2022,9,10
217,6.14,6.7,116.5,0.0,7246.0,8186.0,23.57,85.24,93117.82,19,7,2022,9,11
218,6.7,6.7,116.5,0.0,7246.0,11818.0,23.45,85.77,93116.76,19,7,2022,9,12
219,0.55,6.7,123.21,0.0,7246.0,7960.0,23.87,85.63,93117.65,19,7,2022,10,1
220,1.11,6.7,123.21,0.0,7246.0,8335.0,24.69,83.1,93120.13,19,7,2022,10,2
221,1.67,6.7,123.21,0.0,7246.0,15116.0,25.31,79.74,93114.1,19,7,2022,10,3
222,2.23,6.7,123.21,0.0,7246.0,7542.0,24.95,81.02,93120.79,19,7,2022,10,4
223,2.79,6.7,123.21,0.0,7246.0,8225.0,24.26,83.28,93120.69,19,7,2022,10,5
224,3.35,6.7,123.21,0.0,7246.0,6112.0,23.71,84.43,93123.81,19,7,2022,10,6
225,3.91,6.7,123.21,0.0,7246.0,11908.0,23.31,87.8,93117.04,19,7,2022,10,7
226,4.47,6.7,123.21,0.0,7246.0,7435.0,23.52,86.62,93127.01,19,7,2022,10,8
227,5.02,6.7,123.21,0.0,7246.0,15117.0,23.54,85.82,93127.19,19,7,2022,10,9
228,5.58,6.7,123.21,0.0,7246.0,11250.0,24.45,84.07,93133.4,19,7,2022,10,10
229,6.14,6.7,123.21,0.0,7353.0,12019.0,26.37,75.5,93118.69,19,7,2022,10,11
230,6.7,6.7,123.21,0.0,7353.0,14412.0,27.19,71.77,93118.41,19,7,2022,10,12
231,0.55,6.7,129.92,0.0,7353.0,5418.0,27.31,69.17,93107.45,19,7,2022,11,1
232,1.11,6.7,129.92,0.0,7463.0,14626.0,27.0,70.22,93104.51,19,7,2022,11,2
233,1.67,6.7,129.92,0.0,7246.0,13825.0,26.18,74.31,93106.85,19,7,2022,11,3
234,2.23,6.7,129.92,0.0,7463.0,2905.0,26.21,74.7,93105.69,19,7,2022,11,4
235,2.79,6.7,129.92,0.0,7353.0,10910.0,27.06,72.19,93098.69,19,7,2022,11,5
236,3.35,6.7,129.92,0.0,7463.0,2952.0,28.2,68.74,93094.8,19,7,2022,11,6
237,3.91,6.7,129.92,0.0,7353.0,6811.0,28.52,66.75,93092.76,19,7,2022,11,7
238,4.47,6.7,129.92,0.0,7353.0,8488.0,27.36,66.93,93102.17,19,7,2022,11,8
239,5.02,6.7,129.92,0.0,7463.0,11589.0,26.34,72.23,93094.06,19,7,2022,11,9
240,5.58,6.7,129.92,0.0,7463.0,2850.0,26.27,71.72,93092.31,19,7,2022,11,10
241,6.14,6.7,129.92,0.0,7353.0,15286.0,26.87,71.18,93089.8,19,7,2022,11,11
242,6.7,6.7,129.92,0.0,7353.0,3028.0,27.54,69.95,93094.41,19,7,2022,11,12
243,0.55,6.7,136.62,0.0,7353.0,5397.0,28.04,69.07,93082.6,19,7,2022,12,1
244,1.11,6.7,136.62,0.0,7463.0,4280.0,27.95,67.57,93081.31,19,7,2022,12,2
245,1.67,6.7,136.62,0.0,7353.0,3741.0,28.14,66.66,93074.22,19,7,2022,12,3
246,2.23,6.7,136.62,0.0,7463.0,6746.0,27.93,66.46,93071.4,19,7,2022,12,4
247,2.79,6.7,136.62,0.0,7463.0,6733.0,27.18,69.91,93066.29,19,7,2022,12,5
248,3.35,6.7,136.62,0.0,7353.0,2767.0,27.23,70.93,93061.2,19,7,2022,12,6
249,3.91,6.7,136.62,0.0,7353.0,6788.0,27.0,72.97,93069.2,19,7,2022,12,7
250,4.47,6.7,136.62,0.0,7463.0,8354.0,24.71,82.49,93081.07,19,7,2022,12,8
251,5.02,6.7,136.62,0.0,7246.0,13238.0,24.25,85.24,93061.25,19,7,2022,12,9
252,5.58,6.7,136.62,0.0,7463.0,2783.0,25.0,84.89,93056.25,19,7,2022,12,10
253,6.14,6.7,136.62,0.0,7353.0,3402.0,25.68,82.4,93058.13,19,7,2022,12,11
254,6.7,6.7,136.62,0.0,7353.0,2645.0,26.48,77.73,93048.9,19,7,2022,12,12
255,0.55,6.7,143.33,0.0,7353.0,4603.0,26.81,75.72,93040.07,19,7,2022,13,1
256,1.11,6.7,143.33,0.0,7463.0,2996.0,27.22,74.92,93034.06,19,7,2022,13,2
257,1.67,6.7,143.33,0.0,7353.0,1554.0,27.81,69.69,93031.82,19,7,2022,13,3
258,2.23,6.7,143.33,0.0,7463.0,565.0,27.7,70.31,93028.22,19,7,2022,13,4
259,2.79,6.7,143.33,0.0,7353.0,445.0,27.95,68.83,93014.7,19,7,2022,13,5
260,3.35,6.7,143.33,0.0,7353.0,4944.0,28.34,66.76,93001.93,19,7,2022,13,6
261,3.91,6.7,143.33,0.0,7463.0,7176.0,27.64,69.16,92985.61,19,7,2022,13,7
262,4.47,6.7,143.33,0.0,7353.0,3120.0,26.98,72.17,92977.63,19,7,2022,13,8
263,5.02,6.7,143.33,0.0,7353.0,2884.0,27.42,70.36,92973.74,19,7,2022,13,9
264,5.58,6.7,143.33,0.0,7353.0,4030.0,27.18,70.0,92960.94,19,7,2022,13,10
265,6.14,6.7,143.33,0.0,7353.0,384.0,27.29,70.42,92959.62,19,7,2022,13,11
266,6.7,6.7,143.33,0.0,7353.0,450.0,27.22,68.48,92955.7,19,7,2022,13,12
267,0.55,6.7,150.03,0.0,7463.0,384.0,27.4,67.16,92958.99,19,7,2022,14,1
268,1.11,6.7,150.03,0.0,7353.0,384.0,28.09,65.98,92967.0,19,7,2022,14,2
269,1.67,6.7,150.03,0.0,7353.0,384.0,28.47,64.58,92953.59,19,7,2022,14,3
